feature,corr,p-value
Location,0.5393382290167771,5.967125440582093e-10
ImgPopScore,0.2807598064032726,0.0024800716758751153
N Mentions,0.2458798348654754,0.008365316778697137
MotionBlur,0.24131143557238616,0.009697080637698821
Shopping/dining,0.17105921293104304,0.0688014281591475
%Cold,0.17051497539539504,0.06970152325127305
DoF,0.1458172171482959,0.1216150093228525
N Male,0.14322290317428005,0.1284611876938184
BalancingElement,0.1284340130819546,0.17325004810019745
%Lum,0.12669245256272657,0.1792017435631876
%Warm,0.10731657925112899,0.25575348891468885
Accessory,0.10148260631715864,0.2826555597138177
%Red,0.0969725197950629,0.3047059348259352
Cultural,0.09004794645043654,0.3406961785564251
Kitchen,0.09004794645043654,0.3406961785564251
Aest_score,0.08177639172961261,0.38706054098540776
M age std,0.07861328658371443,0.40574902077391073
M age avg,0.07861328658371443,0.40574902077391073
Days,0.07129361794023599,0.45098227044348116
Commercial/Building,0.06577751464794704,0.4868514530223568
Person,0.061775036088064776,0.5138001419536538
Cap. Sent. Magn.,0.0584737086973688,0.5365905139512881
Forest/field/etc,0.05649899853843389,0.550458425593005
Transport.,0.05279001919427746,0.5769668609538754
OutdoorManmade,0.052637246820879696,0.5780713435124217
Object,0.04687227881168871,0.6204476964252905
Age max,0.040408741289708526,0.6694762763414006
F age avg,0.04027381076687302,0.6705156826461063
Age min,0.039243282817467987,0.6784745251170078
Age std,0.03798074695145435,0.6882735425034846
Age avg,0.03798074695145435,0.6882735425034846
F age std,0.03160489604818067,0.7385210706744072
Sports,0.03001598215014551,0.7512265190228637
SportsLeisureParks,0.028314034225185632,0.7649099345724121
%Blue,0.019396124015309536,0.8377042517523978
%Green,0.017160446325509813,0.8561968386883869
Furniture,0.01433064405374913,0.8797146878453725
Home/Hotel,0.008121541414504226,0.9316571301226887
RuleOfThirds,-0.0015755047487900206,0.9867266779528907
Water/Ice/Snow,-0.0023875087605877694,0.9798868881531153
Sports/Leisure,-0.002897384540432507,0.9755927426370827
Houses/Gardens,-0.004604481181133555,0.9612214469507506
OutdoorNatural,-0.0058681456247073405,0.950590955788637
N Female,-0.011148359337676463,0.9062865494280863
Indoor,-0.014325052563526616,0.8797612682453532
Electronic,-0.027157317183464987,0.7742515593220888
Light,-0.02897065673032138,0.7596219428761575
ImgSentScore,-0.03295599522083393,0.7277722544930418
Repetition,-0.033847026184159905,0.7207122120712864
Cap. Sent. Score,-0.04128090631543043,0.6627728862587011
Indoor,-0.04410717092723975,0.6412351190453556
Pleasure,-0.05337680484396833,0.5727337857023133
Dominance,-0.05791296247544603,0.5405108076993371
VividColor,-0.08214090439642778,0.38494070586026663
Content,-0.08214090439642778,0.38494070586026663
Caption Len.,-0.08395202754787986,0.3745122737093054
Symmetry,-0.10693586602134426,0.2574535872284714
Animal,-0.10975174129153716,0.2450612353966631
Cuteness,-0.115846175654604,0.21967058331111808
Mountains/hills/etc,-0.12435192605060286,0.18743474830177886
ColorHarmony,-0.1364532917518884,0.14771586289447527
Arousal,-0.14525829772584598,0.12306563513631016
Workplace,-0.18586755701175786,0.047710253207515006
IsSponsored,-0.23396812172244455,0.012229815614892609
N Hashstags,-0.27055725871527897,0.003597786957610217
Weigh. Emoji Sent,-0.37916463875482015,3.179721937281951e-05
N Emojis,-0.42821249110520304,2.007509039709051e-06
