feature,corr,p-value
ImgPopScore,0.2795321236317821,1.7096486081989965e-72
N Mentions,0.1899575346544025,1.0241203160960542e-33
N Emojis,0.16978019939629607,3.5627621794294946e-27
Caption Len.,0.16263258891233842,4.842849585866122e-25
Location,0.1613597570592712,1.1350434358180794e-24
DoF,0.14316972600139477,1.0345055809674885e-19
N Hashstags,0.11472382117514765,3.6861709188507076e-13
Aest_score,0.10438567608120308,3.895157772130172e-11
Light,0.09932294523243049,3.2598811492709763e-10
%Green,0.09681713453610757,8.980984230393088e-10
%Red,0.09556917505687372,1.473798861615174e-09
%Warm,0.09157964506921937,6.886243451014634e-09
RuleOfThirds,0.08749150643392041,3.129649757641466e-08
OutdoorNatural,0.08603947719145265,5.2734299634232887e-08
Cap. Sent. Magn.,0.08025835315181834,3.875705124923024e-07
%Blue,0.07960211752946816,4.820195044687441e-07
Weigh. Emoji Sent,0.07642301101048106,1.3536248451249052e-06
Sports/Leisure,0.05666456453776981,0.00034338801361919065
MotionBlur,0.056316867097636225,0.0003734707016350682
Pleasure,0.05622446237276385,0.00038187010772036244
Object,0.05527447659219615,0.000479072512662759
ColorHarmony,0.054920431364780295,0.0005208644768569234
BalancingElement,0.05422302493585005,0.0006132984442403758
Age min,0.05203567750083033,0.0010115951972995264
F age avg,0.0519827877278611,0.0010236812322612383
Age avg,0.05193654312992507,0.0010343580808342672
Age std,0.05193654312992507,0.0010343580808342672
Age max,0.05107494783319057,0.0012531027737175057
Forest/field/etc,0.0498580271961506,0.0016352954456134822
Water/Ice/Snow,0.04661100618602706,0.003238000313315812
Mountains/hills/etc,0.04644271109668101,0.0033511056189537178
Furniture,0.03832930301323908,0.015492799938395165
N Female,0.03686104115080379,0.019919607729854644
%Cold,0.03686005097885328,0.019922931735427817
Repetition,0.03508253895067168,0.026727732772677707
N Male,0.032322833252610074,0.041240872853805934
CulturalHist.,0.019459253016443672,0.21922374417264262
SportsLeisureParks,0.018100937688068048,0.2531130832793429
VividColor,0.01673738230155391,0.2906400195226606
Content,0.01673738230155391,0.2906400195226606
Commercial/Building,0.014969135031030062,0.34462484126954274
Workplace,0.013768965138546276,0.38469005140601176
F age std,0.008119702659841459,0.6082228199491875
Animal,0.007941086934211727,0.6161352302548216
Appliance,0.006771632161999194,0.6690125850649673
Cultural,0.006655907715879616,0.6743411482802942
Indoor,0.0058078831118752155,0.7138730222206103
Days,0.0048014054573086475,0.7617996357389746
Transport.,0.003171898034486049,0.8412889612615303
Transport.,0.0012869363326006248,0.9352468143304057
Accessory,0.0010933207032530253,0.9449719090635835
Home/Hotel,-0.00012500234351526672,0.9937035592769821
Kitchen,-0.00020223553941016206,0.9898134492404278
M age avg,-0.0015055133817895806,0.924279605401144
ManMadeElements,-0.005966742029318675,0.7064049979681455
Person,-0.006289783426285651,0.6913061872957091
ImgSentScore,-0.014443374001682262,0.361837388065947
Outdoor,-0.014495707501157544,0.36010032625541555
Sports,-0.017238036541153426,0.27644848688094276
Symmetry,-0.017863711502329554,0.2593872074131199
OutdoorManmade,-0.01846207958028008,0.2437658927149794
Cap. Sent. Score,-0.021096417709146147,0.1828660026474796
Food,-0.021510888157079917,0.1744138477923791
IndustrialCostr.,-0.026297068638624257,0.09682545609070664
M age std,-0.026797415775814407,0.09063709235595382
Vehicle,-0.03222017038619357,0.041889737790467445
%Lum,-0.03634076597284878,0.0217342553361296
Houses/Gardens,-0.03827953841735337,0.015627339429308072
Electronic,-0.0459532626584087,0.0037007858417475673
Indoor,-0.051993606531339505,0.001021198172547867
Cuteness,-0.06683401733723639,2.3999413906782785e-05
Dominance,-0.0843455910067408,9.590679254909917e-08
Arousal,-0.09634959324458599,1.082013460539427e-09
Shopping/dining,-0.10564305887982758,2.2615687117805402e-11
