feature,corr,p-value
ImgPopScore,0.182312562962355,6.374548012607561e-23
%Cold,0.11535239626165007,5.460350355908021e-10
DoF,0.10991269926405699,3.40418857340619e-09
N Mentions,0.09539377210383637,2.956958224145536e-07
Person,0.08222130859825924,1.0067381193700107e-05
Age max,0.08090904466963698,1.392682246017857e-05
F age avg,0.08090833291894325,1.3929255642707375e-05
Age std,0.08087304385842774,1.4050403851950406e-05
Age avg,0.08087304385842774,1.4050403851950406e-05
Water/Ice/Snow,0.08040910089328736,1.5739524378833303e-05
Age min,0.08032037228652286,1.6083877810117287e-05
OutdoorNatural,0.07997358806823247,1.7499835376600414e-05
N Male,0.07538336560411966,5.1791704528208816e-05
Location,0.07022285643914677,0.00016350424284986828
RuleOfThirds,0.05191391251412752,0.005349314628005777
Workplace,0.05178348284894351,0.0054660545517538645
Light,0.047938465290752186,0.010120964687976942
F age std,0.04713717033148072,0.011450705024742354
Aest_score,0.04673677288132368,0.012171512022651612
N Emojis,0.04585553593446751,0.01390108531817997
Animal,0.0410946829112524,0.027510536473100672
N Female,0.04098960016824064,0.027909558070789948
Object,0.039820669708376666,0.03269514975012676
Forest/field/etc,0.037187736934293475,0.046098889162733366
M age avg,0.028319710256398293,0.1288511650063595
Cap. Sent. Magn.,0.026485692722177892,0.15553121349411592
Cultural,0.024536351927707492,0.18827509967708572
BalancingElement,0.023423804180745734,0.2091070196624376
Sports/Leisure,0.022625140649567974,0.22505802199677002
%Warm,0.018589883439768053,0.31887572214683974
Days,0.016757860746429723,0.36890564973107054
MotionBlur,0.01662515598346875,0.37270991497814576
SportsLeisureParks,0.015851188143777655,0.3953780358052732
Vehicle,0.015627836374928462,0.4020713234039329
Dominance,0.015492330565824294,0.4061649947247926
Transport.,0.013141389212353714,0.48106066172394335
Sports,0.012846826517462061,0.49094733720369044
Symmetry,0.012816133943106989,0.4919837405034938
Furniture,0.01279681829583201,0.4926365774856938
IndustrialCostr.,0.010512779674187013,0.5729912814824569
%Red,0.010460548976972326,0.574899098717535
Weigh. Emoji Sent,0.009408464756039731,0.6139522017047969
Transport.,0.0037902189225585354,0.838970187845589
ManMadeElements,0.003068702073817891,0.8693163738674546
Mountains/hills/etc,-0.000484950617383489,0.9792570827963578
ColorHarmony,-0.0016069092411415383,0.9313444164270255
Indoor,-0.0029921353155398043,0.8725488248066918
IsSponsored,-0.008655898434278594,0.6425838505375915
CulturalHist.,-0.011291948216709063,0.5448933730215619
Accessory,-0.01687734076607001,0.36550123163284554
Cap. Sent. Score,-0.01879943912446605,0.31345011799609707
Outdoor,-0.019943960945525096,0.28489435849237804
Home/Hotel,-0.025856478795031744,0.1655910878470815
Repetition,-0.02722211111433131,0.14435420830485607
Kitchen,-0.02858047200434206,0.12536534474284253
Commercial/Building,-0.03246460962596447,0.08167861863592439
Appliance,-0.03278365075751131,0.07872247464120799
%Green,-0.033423638840754874,0.07305483984090705
Electronic,-0.0372012140904839,0.04601997583214675
VividColor,-0.03752177198324276,0.04417625392308647
Content,-0.03752177198324276,0.04417625392308647
%Blue,-0.03857932633947845,0.03852954303391254
Food,-0.04024248142406095,0.030892910712227106
Arousal,-0.04420057460750938,0.017742698949830858
%Lum,-0.0461500167762945,0.01330040050009615
Indoor,-0.04896795565171664,0.008615102345087847
OutdoorManmade,-0.06427644649980832,0.0005611925920815453
Pleasure,-0.06735086703926292,0.000300255938835324
Shopping/dining,-0.07778164235370487,2.959745479213997e-05
Houses/Gardens,-0.08295710744118452,8.374723752370758e-06
Cuteness,-0.09409503404975034,4.27992753980042e-07
ImgSentScore,-0.10625404192178899,1.110529846541623e-08
Caption Len.,-0.11998280717274801,1.0740984726119022e-10
N Hashstags,-0.2835553412662907,2.4506381707655247e-54
