feature,corr,p-value
ImgPopScore,0.3777297356212065,1.3085457727262424e-112
Location,0.2852008979614048,6.574394607082869e-63
Light,0.23186441323406268,1.3433356409231733e-41
Aest_score,0.2316214713475885,1.636835696330955e-41
N Mentions,0.22991390304099715,6.522538390747977e-41
N Hashstags,0.22540011269096097,2.3880481197779996e-39
RuleOfThirds,0.20634783206690235,4.042343902687923e-33
Object,0.20264189128211207,5.614321867574926e-32
ColorHarmony,0.17883771921827749,3.6709734691145665e-25
N Emojis,0.17588531608742006,2.2267072865512295e-24
Days,0.1626566050085505,4.886206059454311e-21
ImgSentScore,0.1591430006947413,3.3963848329359386e-20
DoF,0.15438894152601776,4.367501054542692e-19
BalancingElement,0.150046287565183,4.200860552891663e-18
%Cold,0.11051543006457085,1.8716497568075965e-10
Arousal,0.10671464070683047,7.694220126199157e-10
OutdoorNatural,0.10652459541901006,8.247291220034691e-10
N Female,0.07323824721156307,2.4965776891975355e-05
Cap. Sent. Score,0.07178797594388672,3.605250752299739e-05
Content,0.07156650735259956,3.811080843797634e-05
VividColor,0.07156650735259956,3.811080843797634e-05
Forest/field/etc,0.06907510090189999,7.04045838062519e-05
Person,0.06406061699203676,0.00022803971568163684
%Lum,0.06374184729213743,0.0002450663826931988
Dominance,0.060630871957908374,0.000486586008369287
SportsLeisureParks,0.059194802086646466,0.0006609830684523576
Water/Ice/Snow,0.05538369436697433,0.0014441277281978483
Mountains/hills/etc,0.04677957727956852,0.007141358213279125
Animal,0.04449934185165605,0.010499929486466577
Age max,0.039482628582921266,0.023195937810294033
Caption Len.,0.0390393179024852,0.0247885085471669
Age min,0.03896039334029072,0.0250817538381457
Age avg,0.03864750766790297,0.026274016214246847
Age std,0.03864750766790297,0.026274016214246847
F age avg,0.03863858447726244,0.026308724380621696
Sports,0.03636050933491629,0.036568342539129946
Commercial/Building,0.031520444823440984,0.06996735914193755
F age std,0.025330125455086748,0.14536221611736064
ManMadeElements,0.025295167075310383,0.14591865178876817
Appliance,0.015122301033305006,0.3847266364102807
Outdoor,0.014475922234400992,0.4053734461459261
Transport.,0.014288851756747836,0.41147019986479094
OutdoorManmade,0.010547632140353562,0.5443464739897903
MotionBlur,0.010454085208828314,0.5479223929516455
Workplace,0.008858945050463139,0.6106208419999191
Vehicle,0.0029327867486331556,0.8661384545487979
Sports/Leisure,0.002677785163816515,0.8776815851476182
Furniture,0.002321918447439205,0.8938335856979385
Accessory,-0.0006007063278477487,0.9724575107816216
Pleasure,-0.0009617267894389288,0.9559183424414467
Home/Hotel,-0.002991780019465867,0.8634719794907195
M age avg,-0.004814429102468516,0.781998087761516
Food,-0.011392738527036825,0.5125764229747851
N Male,-0.012126885761070553,0.4857830729222754
Transport.,-0.01483835007548511,0.39371632483891184
IndustrialCostr.,-0.015988032308638045,0.3581017473410041
CulturalHist.,-0.017343430343362685,0.3188094572371817
%Warm,-0.01796523752092525,0.30176547189706343
Houses/Gardens,-0.01868924694145163,0.28269787122970597
%Blue,-0.025404177401684786,0.1441888905645403
Cuteness,-0.03171058087271888,0.06829454606680574
Indoor,-0.04016819347402353,0.020907954652304404
%Green,-0.04122104103237487,0.01777695870241266
Cultural,-0.04238525079083871,0.014800123409615954
Kitchen,-0.04521567624045798,0.009318309281669938
Electronic,-0.06561363766408819,0.00015982588600841645
Symmetry,-0.07054917979458275,4.908328277595142e-05
%Red,-0.07240967865349114,3.082346629969951e-05
Indoor,-0.08560223652347192,8.259632907562869e-07
Cap. Sent. Magn.,-0.09680790068226763,2.443614586199742e-08
Shopping/dining,-0.10360706817816753,2.357993152424144e-09
Weigh. Emoji Sent,-0.12727643616236556,2.0538963815327449e-13
Repetition,-0.14929641840802474,6.168715476258846e-18
