feature,corr,p-value
ImgPopScore,0.25612132688975014,7.294367909427055e-13
F age avg,0.22095983149345028,7.194719789690824e-10
Age std,0.220880638606466,7.298354636232529e-10
Age avg,0.220880638606466,7.298354636232529e-10
Age min,0.22011066211126243,8.384780120332918e-10
Age max,0.2129836844657965,2.9569070159251634e-09
Location,0.1951170806044768,5.765361888733417e-08
N Emojis,0.17287890548974763,1.6073507043410931e-06
Person,0.1653734374294663,4.5150836810530325e-06
N Male,0.1411159896255205,9.38283832702087e-05
Weigh. Emoji Sent,0.13089580779726148,0.0002939497530167097
%Warm,0.1302040588071844,0.00031665964798591916
N Female,0.12822961927216583,0.0003908200631722172
VividColor,0.11408930178195896,0.0016192397548400793
Content,0.11408930178195896,0.0016192397548400793
SportsLeisureParks,0.1134422477452742,0.0017219238797208636
Cap. Sent. Score,0.09278038395063376,0.010443776525299604
OutdoorManmade,0.08384117099090461,0.020715298367666207
DoF,0.07688281497602208,0.033958854313101534
Electronic,0.07518662657689679,0.03811259509731103
N Mentions,0.07305628632277683,0.04393323086295921
Object,0.06822136582552421,0.059962603925836744
M age avg,0.054654732046047864,0.1319733602715955
%Cold,0.0544964257026795,0.13309817208457242
Accessory,0.05442493284245844,0.13360857061233616
Forest/field/etc,0.050259354570932384,0.16603340375325237
CulturalHist.,0.049746909777798526,0.17039907357438536
ImgSentScore,0.04829748585535067,0.18321135150564563
Shopping/dining,0.04781352711916855,0.1876441769566474
RuleOfThirds,0.04474056897350604,0.21764588284276884
Arousal,0.04110887537074101,0.25735979593883246
Aest_score,0.03903917461059065,0.2821136462310516
Appliance,0.03732399297608201,0.30381156002550963
Cap. Sent. Magn.,0.03543851289233727,0.3289086005586941
ManMadeElements,0.03261313984443099,0.36895441728418743
Houses/Gardens,0.029042758224561746,0.42369229674332953
ColorHarmony,0.023768714020312835,0.5126584553854951
%Lum,0.022470297036243127,0.5359625142785049
Vehicle,0.022373577051743997,0.537719515608198
F age std,0.018750528289517898,0.6055391150717536
Pleasure,0.016323846965465214,0.6529966560454337
Transport.,0.014150598446135965,0.696729206006129
Dominance,0.0132641075974849,0.7148715885776348
Light,0.01209269805547575,0.7390922048713771
MotionBlur,0.011363688191154095,0.7542988219197592
%Red,0.006880577722926058,0.8497014094722684
Food,0.005914353746302951,0.8706066653409763
BalancingElement,0.00319544763039573,0.9298721697449599
Symmetry,0.0025375321226484425,0.9442844085919296
%Green,0.0020610011634726415,0.9547349045962458
Animal,-0.0038231688536477172,0.9161426619454917
Home/Hotel,-0.004483362879338855,0.901729871448295
Commercial/Building,-0.0053536491612162646,0.8827805718528343
Days,-0.006747049323243655,0.8525845065598054
Transport.,-0.013429092635445717,0.7114825371865504
IsSponsored,-0.014188370646990186,0.6959599276906425
Sports,-0.014270938490854885,0.6942794175581323
Outdoor,-0.01633668740707669,0.6527415883711087
N Hashstags,-0.023894913745116177,0.5104218524061785
Water/Ice/Snow,-0.027387088470698977,0.4506054271268447
Indoor,-0.028225475149124928,0.436858301926647
Sports/Leisure,-0.03229969329644166,0.373576400356439
Indoor,-0.04470286893961759,0.21803418002076497
OutdoorNatural,-0.04795175281687,0.18637011270446655
%Blue,-0.04946876573186272,0.17280432207652935
Cultural,-0.05176937890276128,0.1536574096929793
Furniture,-0.05209761894949703,0.15106225389529557
Workplace,-0.05681805316908115,0.11732882313404354
IndustrialCostr.,-0.05853002984325226,0.10666807604925171
Mountains/hills/etc,-0.07545115682898844,0.037437722831794445
Repetition,-0.08211788917398433,0.023486539943982546
Caption Len.,-0.09190386017692946,0.011197212411576833
Kitchen,-0.10692054392667999,0.0031454355724546425
