feature,corr,p-value
N Mentions,0.37753506497952044,7.394124269225312e-19
ImgPopScore,0.28094390374920053,8.873504148347575e-11
N Male,0.25802997627630925,2.911334288552147e-09
Age min,0.22745648916782915,1.8609167210529154e-07
F age avg,0.22618101782380207,2.1868974249271636e-07
Age std,0.22586744001233605,2.2750977529000037e-07
Age avg,0.22586744001233605,2.2750977529000037e-07
Age max,0.2122170590926315,1.2039461063844939e-06
Person,0.18480383147557386,2.487183113771516e-05
Water/Ice/Snow,0.14893730739861788,0.0007057586858708661
Object,0.1467126597286266,0.0008493894246957772
Animal,0.14105597837327366,0.0013449164075780965
Dominance,0.13337367910639142,0.0024457306618271206
%Warm,0.10912221988216839,0.013310772029089545
OutdoorNatural,0.09507573883928523,0.031149924859213394
Kitchen,0.0836166990565011,0.05816862639448208
DoF,0.07744276431317719,0.07941176987736523
BalancingElement,0.07612931013192603,0.08465880456167953
Electronic,0.06423600067508146,0.14586661995048747
Cap. Sent. Magn.,0.06127027559482683,0.16543729147916847
Furniture,0.05802721005539007,0.18902399890117377
M age avg,0.05749963084117106,0.19308395317598262
N Female,0.057253398553804145,0.19500053317438554
Days,0.0533686300946844,0.22709893793495312
Home/Hotel,0.04816445768048915,0.27574050172679887
Location,0.04805251178718129,0.27685932824133824
Accessory,0.042192591286281896,0.3397453777788221
F age std,0.03886369413918862,0.37924516889396054
RuleOfThirds,0.03708644606923242,0.40144153271910465
Cap. Sent. Score,0.03610465660571731,0.41402978604746854
Arousal,0.02765773876891767,0.5315528169214094
ManMadeElements,0.027391275245314924,0.5355162199367025
CulturalHist.,0.022031355158365684,0.6182516115491012
Vehicle,0.02124323353879351,0.6308725574925174
M age std,0.020697908867783537,0.6396689274494114
MotionBlur,0.015273439227662538,0.7297561523628502
Sports/Leisure,0.009734919143783678,0.8257358301853768
Indoor,0.009491355896252964,0.8300286190058181
Light,0.004713978087182954,0.9150954729631403
Aest_score,0.0001509763157175382,0.9972755994086615
Transport.,-0.0014238671003854568,0.9743103845494054
Shopping/dining,-0.003749895490666579,0.9324129788510691
Food,-0.004381749184660904,0.9210590772240529
Indoor,-0.006491363995045294,0.8832799041262118
Cultural,-0.01392658620858999,0.7527737119462534
Sports,-0.01686133638702159,0.7029291971275352
Mountains/hills/etc,-0.01920408296019976,0.6640221555687857
Commercial/Building,-0.020016522310021902,0.650731320531839
SportsLeisureParks,-0.020624010997606683,0.6408648703155506
Transport.,-0.025391273682764465,0.5657302527653494
%Cold,-0.02862885882728097,0.5172348675073746
Workplace,-0.03350943355941137,0.44840626568104625
Forest/field/etc,-0.039695088641604176,0.36912537971639303
N Emojis,-0.04916629736923999,0.26586470021919373
Weigh. Emoji Sent,-0.05644577290670296,0.20138438850487297
IndustrialCostr.,-0.06170590431516997,0.16244513572531408
ImgSentScore,-0.08926659331702788,0.04308073567553926
OutdoorManmade,-0.09021986930839598,0.04089260705694664
Houses/Gardens,-0.09600609624642271,0.02952993666706546
Content,-0.10238845238409715,0.02024586606223718
VividColor,-0.10238845238409715,0.02024586606223718
%Red,-0.10257945929450012,0.020012460733131565
IsSponsored,-0.10452075179116053,0.017770014691467523
Outdoor,-0.11012130616245717,0.012484472838788086
Symmetry,-0.13314396711768334,0.0024887118078237348
ColorHarmony,-0.1337434539926191,0.002377963277103375
Caption Len.,-0.13393451822357538,0.0023436233178257887
%Green,-0.149363869224768,0.0006809317571957835
%Blue,-0.15129735578484976,0.0005782226879347359
%Lum,-0.15424062413092543,0.0004491433181879572
Repetition,-0.1676166274365785,0.00013457945649912497
Pleasure,-0.1698507852955944,0.00010903193452550622
N Hashstags,-0.2901395494955192,1.990717288026094e-11
