feature,corr,p-value
Location,0.3143021056276313,0.0
N Mentions,0.2872344877926609,0.0
ImgPopScore,0.1752837974297683,4.015423700307248e-154
N Emojis,0.16830810267047383,4.377433820586858e-142
Age min,0.13219893443329228,6.241910329397938e-88
Age std,0.12579276766809108,9.924756260550151e-80
Age avg,0.12579276766809108,9.924756260550151e-80
F age avg,0.12555270008619904,1.9766369576170845e-79
Age max,0.11913181919536077,1.2056823368635878e-71
Weigh. Emoji Sent,0.11500231538377585,7.370258098357701e-67
N Female,0.10997188991826226,2.9199068734014916e-61
%Cold,0.09347101763366275,1.1105259615547325e-44
Person,0.08610315757788425,3.737130447540181e-38
Caption Len.,0.07393351410383589,1.5066790597870276e-28
OutdoorManmade,0.0596022179893266,4.2266539412755416e-19
RuleOfThirds,0.04919254998289825,1.7193596900183496e-13
CulturalHist.,0.043855608128728275,5.0757195121748014e-11
%Blue,0.0422147091890985,2.5703180352896244e-10
ColorHarmony,0.04036735348769554,1.4868716068724413e-09
Days,0.0362394909126157,5.72686881464425e-08
N Hashstags,0.035272070524895734,1.2767214486037128e-07
Light,0.03490453415410423,1.7220580242333266e-07
Aest_score,0.03399019360349991,3.5791953752043725e-07
BalancingElement,0.03233782686441629,1.2821604867843606e-06
Commercial/Building,0.03217658453748872,1.4475664892134714e-06
Transport.,0.029108749424401188,1.3081482644119914e-05
N Male,0.028010596435022007,2.7379446535873957e-05
%Green,0.02783618961537342,3.0713672728048766e-05
Cap. Sent. Magn.,0.02773547691415872,3.281117304386539e-05
%Red,0.025961789790152068,0.00010134705133027479
ManMadeElements,0.02325504059471854,0.0004977996908232005
Vehicle,0.02091584371449086,0.001738490448320196
DoF,0.01986588851959447,0.002935842129138686
Object,0.011623817643622143,0.08181726220718966
F age std,0.011580368496104354,0.0829655562817362
%Warm,0.01019770950703857,0.1268309279831799
Houses/Gardens,0.009636363191433153,0.1491121498437844
Forest/field/etc,0.009381404425095236,0.16016922034680703
Repetition,0.006440973505951531,0.33490778064601345
OutdoorNatural,0.006232722560850892,0.35076947590194985
Cap. Sent. Score,0.005744629949560113,0.389775571095097
Animal,0.005513740283641136,0.40911185886818424
IndustrialCostr.,0.005344005432878959,0.423683948742573
Pleasure,0.0048315455775437095,0.4694799393796061
Transport.,0.0027523300362439153,0.680305164302992
Sports,0.0024323600132161675,0.7157501747030586
SportsLeisureParks,0.0022250021070536045,0.7390579409537517
Outdoor,0.001941748205684262,0.7712841294058512
Mountains/hills/etc,0.0010727755014463653,0.872405955023412
M age std,-0.001834409791161459,0.7836034795982564
%Lum,-0.0018937764295414092,0.7767829822406119
Furniture,-0.004778551071155974,0.47436707496610886
Symmetry,-0.0049169842904999254,0.46165975618647315
ImgSentScore,-0.005728563969284475,0.3911027845652021
Water/Ice/Snow,-0.008285602317251001,0.21481171424354362
MotionBlur,-0.008864038977618206,0.18449411115689082
IsSponsored,-0.009846134372638787,0.14045970350126533
Accessory,-0.010329862261249987,0.12198270541349891
Appliance,-0.011952298170507617,0.0735473369084365
Content,-0.012110804004294769,0.0698084841425785
VividColor,-0.012110804004294769,0.0698084841425785
M age avg,-0.013007829767726105,0.05147970627052895
Cultural,-0.015487711412858806,0.020407286965575453
Workplace,-0.016932480371050728,0.011241191504252394
Home/Hotel,-0.0234289626093447,0.00045151321012344166
Food,-0.026779297691625324,6.0771368087288187e-05
Kitchen,-0.02777197991387352,3.20356904263001e-05
Electronic,-0.029548020467081094,9.664687528814543e-06
Indoor,-0.029791428575466787,8.157552648095142e-06
Shopping/dining,-0.03259314986032895,1.0568126342987437e-06
Dominance,-0.04002878949812944,2.0344213678281333e-09
Sports/Leisure,-0.04143546584672492,5.438896481293147e-10
Arousal,-0.05588358410743769,5.62816131936741e-17
Indoor,-0.063950294452691,9.364375696719588e-22
