feature,importance
n_female,0.16801224707928097
weighted_emoji_sent,0.10848169981696289
percent_warm,0.075002703527791
n_emojis,0.07186701032472606
percent_cold,0.05649318154307982
nudity_15,0.04705262806432071
std_female_age,0.042290969661841885
pleasure,0.04118559554367329
arousal,0.03753957975347597
days_within,0.03447286388775842
n_male,0.031087618116477034
is_location,0.029897875260037173
indoor,0.0291538798764466
places365_macro_1,0.02865172062865056
dominance,0.02508367500095294
r_percent,0.022644806266346743
cap_sentiment_score,0.018334679174819502
caption_len,0.017574394188907265
places365_micro_0,0.015421638785118603
cap_sentiment_magnitude,0.014300732526267686
min_age,0.01415200041796858
nudity_9,0.010895800636508562
lum_percent,0.010849269130398282
n_hashtags,0.010601009236352732
nudity_2,0.010228840278305666
nudity_0,0.009485132265814065
mean_female_age,0.00820832861839344
mean_age,0.005193086705132659
appliance,0.0029185168420954467
g_percent,0.0029185168420954467
std_age,0.0
mean_male_age,0.0
max_age,0.0
std_male_age,0.0
places365_micro_6,0.0
places365_macro_0,0.0
places365_macro_2,0.0
places365_micro_1,0.0
places365_micro_10,0.0
places365_micro_11,0.0
places365_micro_12,0.0
places365_micro_13,0.0
places365_micro_14,0.0
places365_micro_15,0.0
places365_micro_2,0.0
places365_micro_3,0.0
places365_micro_4,0.0
places365_micro_5,0.0
is_sponsored,0.0
electronic,0.0
n_mentions,0.0
is_video,0.0
PopularityScore,0.0
nudity_1,0.0
nudity_3,0.0
nudity_4,0.0
nudity_5,0.0
nudity_6,0.0
nudity_7,0.0
nudity_8,0.0
nudity_10,0.0
nudity_11,0.0
nudity_12,0.0
nudity_13,0.0
nudity_14,0.0
b_percent,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
places365_micro_7,0.0
