feature,importance
nudity_5,0.22138335671252027
is_location,0.15336105892312513
percent_warm,0.14205840111608223
weighted_emoji_sent,0.0671600407665028
lum_percent,0.060359553061433355
b_percent,0.0458188879300136
cap_sentiment_score,0.0400662013682752
std_female_age,0.0355696069213678
pleasure,0.03309766856897883
dominance,0.02956653182558128
n_emojis,0.025700787503013172
days_within,0.021344256571021094
percent_cold,0.01890725673988646
nudity_6,0.016442798636133987
arousal,0.01489945798367108
g_percent,0.013444926014141231
nudity_8,0.01303273643634364
places365_micro_0,0.011892156450840794
places365_micro_10,0.011244309578906157
n_hashtags,0.010829225523339736
nudity_15,0.007687334168085447
std_male_age,0.002868250883016796
n_female,0.00192070371630589
indoor,0.0013444926014141234
min_age,0.0
max_age,0.0
mean_age,0.0
std_age,0.0
mean_male_age,0.0
mean_female_age,0.0
places365_micro_4,0.0
cap_sentiment_magnitude,0.0
places365_macro_0,0.0
places365_micro_3,0.0
places365_micro_6,0.0
n_male,0.0
places365_macro_1,0.0
places365_macro_2,0.0
places365_micro_1,0.0
places365_micro_11,0.0
places365_micro_12,0.0
places365_micro_14,0.0
places365_micro_5,0.0
places365_micro_15,0.0
places365_micro_2,0.0
is_sponsored,0.0
furniture,0.0
caption_len,0.0
n_mentions,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_7,0.0
nudity_9,0.0
nudity_10,0.0
nudity_11,0.0
nudity_12,0.0
nudity_13,0.0
nudity_14,0.0
r_percent,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
is_video,0.0
electronic,0.0
appliance,0.0
places365_micro_7,0.0
