feature,importance
nudity_5,0.2198933253552737
n_mentions,0.10837489346897405
is_location,0.08801996107290196
n_hashtags,0.0678250358338844
n_emojis,0.0529782706660837
dominance,0.04908912097077036
days_within,0.04292406661969848
indoor,0.041170817271469866
weighted_emoji_sent,0.03750188572363459
lum_percent,0.03123002813456672
nudity_15,0.024864477616009514
arousal,0.023666260086284717
cap_sentiment_score,0.023031117172659606
std_female_age,0.021407879369333426
percent_warm,0.019674957786541
b_percent,0.01676383452354361
pleasure,0.016035168225340922
percent_cold,0.01574340307347028
g_percent,0.013422640994362132
places365_macro_2,0.011273911129390007
r_percent,0.01074266782297804
food,0.009460461639173025
std_male_age,0.006599183601082514
places365_macro_1,0.006576723808070901
std_age,0.006396572413779123
cap_sentiment_magnitude,0.005635383216327287
places365_micro_0,0.005422936991422387
n_female,0.005153654797890643
nudity_9,0.005036186356838442
mean_age,0.004289497912714119
nudity_2,0.00398781864669672
caption_len,0.0020007780003317363
mean_female_age,0.0019857996829934516
appliance,0.0018212800155086761
max_age,0.0
places365_micro_4,0.0
mean_male_age,0.0
places365_micro_7,0.0
places365_micro_6,0.0
places365_micro_5,0.0
places365_micro_2,0.0
places365_micro_3,0.0
places365_micro_1,0.0
places365_micro_15,0.0
places365_micro_14,0.0
places365_macro_0,0.0
places365_micro_13,0.0
places365_micro_12,0.0
places365_micro_11,0.0
places365_micro_10,0.0
is_sponsored,0.0
electronic,0.0
min_age,0.0
nudity_12,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_3,0.0
nudity_4,0.0
nudity_6,0.0
nudity_7,0.0
nudity_8,0.0
nudity_10,0.0
nudity_11,0.0
nudity_13,0.0
n_male,0.0
nudity_14,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
furniture,0.0
is_video,0.0
places365_micro_8,0.0
