feature,importance
n_mentions,0.17408001775082277
n_male,0.08854130092446834
mean_age,0.06251475049311651
n_emojis,0.052617875534637884
std_male_age,0.05167733289898178
nudity_5,0.04994986314989069
days_within,0.0451255466581763
n_hashtags,0.04406126403766856
caption_len,0.03839111450023494
weighted_emoji_sent,0.03615755395783269
indoor,0.028723741703016364
is_location,0.028571189245670835
std_female_age,0.028046987052418246
lum_percent,0.02404468535710367
pleasure,0.01922206648112352
dominance,0.0187687367668753
places365_macro_0,0.016317130242477898
percent_cold,0.016211350785814285
r_percent,0.016171294430569114
percent_warm,0.01601732850703006
g_percent,0.014232742347924007
min_age,0.013757174025000802
places365_macro_1,0.012326638133083623
cap_sentiment_magnitude,0.012222065612299084
nudity_9,0.012145251557729185
arousal,0.010263958707632293
b_percent,0.009593397119344042
nudity_7,0.008795068687219064
n_female,0.008434108272980027
nudity_15,0.007981927071133288
places365_micro_5,0.007455936524517224
nudity_0,0.005493327577840194
std_age,0.004763629771683285
cap_sentiment_score,0.003521668110616303
kitchen,0.0034391111200738934
places365_macro_2,0.003076959041830382
mean_female_age,0.002967155356359034
food,0.002423146868443376
outdoor,0.0018956036163610811
places365_micro_0,0.0
places365_micro_1,0.0
places365_micro_10,0.0
places365_micro_11,0.0
places365_micro_12,0.0
places365_micro_13,0.0
places365_micro_14,0.0
places365_micro_15,0.0
places365_micro_2,0.0
places365_micro_3,0.0
places365_micro_4,0.0
places365_micro_6,0.0
places365_micro_7,0.0
is_sponsored,0.0
electronic,0.0
mean_male_age,0.0
nudity_12,0.0
PopularityScore,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_6,0.0
nudity_8,0.0
nudity_10,0.0
nudity_11,0.0
nudity_13,0.0
max_age,0.0
nudity_14,0.0
person,0.0
vehicle,0.0
animal,0.0
accessory,0.0
sports,0.0
furniture,0.0
is_video,0.0
appliance,0.0
places365_micro_8,0.0
