feature,importance
is_location,0.17803781297694968
n_mentions,0.09565377744842421
min_age,0.07906850415903935
mean_age,0.0729277238881764
n_emojis,0.06095237838313118
nudity_5,0.05189271986655171
arousal,0.049764604290420004
indoor,0.04661338976294043
n_male,0.04647429360498504
dominance,0.041083727949634906
n_hashtags,0.03991420019416244
n_female,0.03835234281237223
weighted_emoji_sent,0.03797241636722136
caption_len,0.03211247427147083
std_female_age,0.020723605915930372
lum_percent,0.014352009171714803
percent_cold,0.012271771619861873
places365_macro_0,0.010753059794299883
cap_sentiment_score,0.010748287651512848
nudity_9,0.010696909499970726
std_male_age,0.009245559443171037
cap_sentiment_magnitude,0.006667133046370912
pleasure,0.006414785316817774
b_percent,0.005555088272514778
nudity_15,0.005176017121502897
sports,0.004536692710422586
places365_macro_2,0.003573099484432028
g_percent,0.0033332402997436803
food,0.0030597303931256016
percent_warm,0.0020726442831284953
places365_micro_0,0.0
places365_micro_15,0.0
places365_micro_2,0.0
places365_micro_3,0.0
places365_micro_13,0.0
places365_micro_4,0.0
places365_micro_5,0.0
places365_micro_6,0.0
places365_micro_7,0.0
places365_micro_14,0.0
mean_female_age,0.0
places365_micro_12,0.0
max_age,0.0
mean_male_age,0.0
places365_micro_11,0.0
places365_micro_10,0.0
std_age,0.0
places365_micro_1,0.0
places365_macro_1,0.0
is_sponsored,0.0
electronic,0.0
appliance,0.0
is_video,0.0
days_within,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_6,0.0
nudity_7,0.0
nudity_8,0.0
nudity_10,0.0
nudity_11,0.0
nudity_12,0.0
nudity_13,0.0
nudity_14,0.0
r_percent,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
kitchen,0.0
furniture,0.0
places365_micro_8,0.0
