feature,importance
is_location,0.15503802922114263
g_percent,0.07291203241511787
n_male,0.0705328622731811
b_percent,0.05885014243441691
n_mentions,0.05786018933446652
mean_female_age,0.05779193382520754
caption_len,0.05569125389317155
percent_warm,0.04443358966017262
places365_macro_1.0,0.04039735649808605
pleasure,0.03901145692388032
n_emojis,0.03334023111621551
min_age,0.0324676139806728
places365_macro_2.0,0.02577896511528829
kitchen,0.02517761926457017
percent_cold,0.02284934870871781
lum_percent,0.022773112624864596
std_age,0.02020558493807201
arousal,0.01896616046650496
indoor,0.018745634064593734
PopularityScore,0.01722194281575103
places365_macro_0.0,0.016227065003150784
outdoor,0.0133639602244511
r_percent,0.013207977834094676
days_within,0.012334306359873303
cap_sentiment_score,0.011527753274900278
places365_micro_15.0,0.009667301350533376
food,0.009222927649001554
std_female_age,0.007945917549297719
places365_micro_3.0,0.006984148166459351
std_male_age,0.004646274873112227
dominance,0.003935340806781073
mean_age,0.000891967334250547
places365_micro_0.0,0.0
places365_micro_1.0,0.0
places365_micro_2.0,0.0
places365_micro_7.0,0.0
places365_micro_6.0,0.0
places365_micro_11.0,0.0
places365_micro_5.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
places365_micro_4.0,0.0
places365_micro_14.0,0.0
places365_micro_10.0,0.0
is_sponsored,0.0
cap_sentiment_magnitude,0.0
mean_male_age,0.0
max_age,0.0
n_female,0.0
is_video,0.0
n_hashtags,0.0
weighted_emoji_sent,0.0
appliance,0.0
electronic,0.0
furniture,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
