feature,importance
dominance,0.15710915086504929
percent_cold,0.050692714527327834
places365_micro_0.0,0.04759394441615359
lum_percent,0.04674703693958391
places365_macro_2.0,0.04603878534656023
places365_macro_1.0,0.04565720837834634
percent_warm,0.04359051746770131
is_location,0.03891695334594122
places365_micro_3.0,0.03878931533846321
places365_micro_15.0,0.03671266210320542
places365_macro_0.0,0.03393624758339957
cap_sentiment_score,0.03222129494768989
places365_micro_4.0,0.0321317386581324
b_percent,0.03162670540143557
pleasure,0.03138552054613179
g_percent,0.02948717236001689
r_percent,0.023200091512322423
places365_micro_2.0,0.021547077829413206
PopularityScore,0.02083731389059846
std_female_age,0.020163808272458474
n_emojis,0.019731972781978406
min_age,0.016392159046452085
std_age,0.015447247575355698
caption_len,0.015049827431326372
n_male,0.01427646016763174
arousal,0.013725739988927108
n_hashtags,0.0088805442602725
indoor,0.008078927955070456
mean_age,0.007854476838645529
weighted_emoji_sent,0.007747997866767939
outdoor,0.0075357744722717385
std_male_age,0.007030485708997648
n_female,0.006656795607378614
days_within,0.005961414734318677
places365_micro_13.0,0.005748239784886087
mean_female_age,0.004367943734962057
n_mentions,0.0033801883943618068
food,0.002730590931384368
appliance,0.001017952989080142
places365_micro_11.0,0.0
places365_micro_12.0,0.0
places365_micro_6.0,0.0
places365_micro_10.0,0.0
places365_micro_7.0,0.0
places365_micro_1.0,0.0
places365_micro_14.0,0.0
places365_micro_5.0,0.0
is_sponsored,0.0
cap_sentiment_magnitude,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
furniture,0.0
kitchen,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
