feature,importance
dominance,0.24071274114696647
days_within,0.11703442153944314
n_mentions,0.10411510179218322
cap_sentiment_score,0.07874381743368397
n_emojis,0.05894416502598424
is_location,0.0546051368283618
caption_len,0.043941995391074365
n_hashtags,0.03481773971401906
n_male,0.02331216938051881
mean_female_age,0.017127986847775466
indoor,0.016946745037144113
weighted_emoji_sent,0.015162881075939357
std_male_age,0.014500306719939024
arousal,0.014042222856861093
b_percent,0.012478560426558037
percent_warm,0.01244776560062024
food,0.012325375682105993
std_female_age,0.010804704431495874
g_percent,0.010765910917814987
places365_macro_1.0,0.01039278275712047
percent_cold,0.00892235838801665
places365_macro_2.0,0.008391734966692498
r_percent,0.008286768513337789
lum_percent,0.007862343513201808
pleasure,0.007741516105425906
cap_sentiment_magnitude,0.007481426422749535
n_female,0.0064293959258981325
places365_micro_11.0,0.006382262504162665
places365_macro_0.0,0.006302424156436195
PopularityScore,0.004399378811428293
mean_age,0.003934310141127991
min_age,0.0034715334141749484
std_age,0.002711102238142453
places365_micro_5.0,0.0023968754579214158
furniture,0.0022176117543766935
places365_micro_0.0,0.002167361953275231
kitchen,0.0021644926074604297
outdoor,0.0015624348690468632
sports,0.001068846245210783
places365_micro_7.0,0.0007755821406083904
places365_micro_3.0,0.0005944394217427222
accessory,0.0005518753414514586
appliance,0.0004973094441114511
places365_micro_2.0,0.0004640850583898957
places365_micro_6.0,0.0
places365_micro_12.0,0.0
places365_micro_4.0,0.0
places365_micro_14.0,0.0
places365_micro_13.0,0.0
places365_micro_15.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
