feature,importance
nudity_5,0.2571573703304777
min_age,0.13746535534201249
weighted_emoji_sent,0.1308699745682371
caption_len,0.09908108884227208
n_emojis,0.033979593582872294
indoor,0.03393959596308784
cap_sentiment_magnitude,0.03280703748648213
n_mentions,0.025313008282131344
places365_macro_1.0,0.022221109107858766
dominance,0.01877962070795559
cap_sentiment_score,0.018502591073206686
n_male,0.016914883589860884
std_female_age,0.015868953042063358
is_location,0.014545402344800751
places365_micro_4.0,0.014089774693786696
pleasure,0.013999867844485493
places365_macro_2.0,0.013973728930363468
std_age,0.01192347638796015
n_hashtags,0.009222089904013079
percent_warm,0.008981302648522656
percent_cold,0.008383794260905303
places365_macro_0.0,0.008240621993053898
mean_age,0.007958105537654957
places365_micro_7.0,0.006839667876570564
b_percent,0.006168940907076712
days_within,0.005092971954316157
r_percent,0.005082401182818956
nudity_6,0.004241481676670236
mean_female_age,0.004161250070710545
g_percent,0.004111664608933362
nudity_15,0.00406691414721587
lum_percent,0.00316806222809255
arousal,0.002848298883530232
places365_micro_14.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
places365_micro_3.0,0.0
places365_micro_2.0,0.0
places365_micro_15.0,0.0
places365_micro_13.0,0.0
max_age,0.0
mean_male_age,0.0
std_male_age,0.0
places365_micro_12.0,0.0
places365_micro_11.0,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
places365_micro_0.0,0.0
is_sponsored,0.0
electronic,0.0
n_female,0.0
nudity_12,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_7,0.0
nudity_8,0.0
nudity_9,0.0
nudity_10,0.0
nudity_11,0.0
nudity_13,0.0
appliance,0.0
nudity_14,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
is_video,0.0
places365_micro_8.0,0.0
