feature,importance
nudity_5,0.34997835240809083
nudity_9,0.1740443528168132
dominance,0.08668118757972311
n_mentions,0.04350001247425978
weighted_emoji_sent,0.03398800089248973
percent_warm,0.029602693904332986
std_male_age,0.028421549274571377
lum_percent,0.02662561752512414
b_percent,0.026280384657441175
n_emojis,0.022093870840944843
cap_sentiment_score,0.014221550457098452
days_within,0.01386936540934108
pleasure,0.01305921726254836
n_hashtags,0.01248728669732238
r_percent,0.009655988949566412
indoor,0.00845862512018873
n_female,0.008121263289839203
places365_macro_0.0,0.008090171856471873
cap_sentiment_magnitude,0.007680956659235823
g_percent,0.007067182383040653
n_male,0.006947115570945058
min_age,0.006363769000434966
nudity_15,0.006150009004743693
std_age,0.005245180908329571
nudity_8,0.005089140341920623
arousal,0.00501805009519445
appliance,0.004760431454844128
places365_micro_3.0,0.004458919578818124
places365_macro_1.0,0.0043160702441264985
nudity_6,0.003646966669839812
mean_age,0.0035189137567443875
is_location,0.003234801759299498
mean_female_age,0.0027963767111107837
places365_macro_2.0,0.002693772130618225
percent_cold,0.0025183649116286453
nudity_7,0.002409714394777165
places365_micro_4.0,0.0023948740774195725
std_female_age,0.0022793538205164304
nudity_2,0.0022305451102442807
mean_male_age,0.0
places365_micro_15.0,0.0
places365_micro_14.0,0.0
places365_micro_13.0,0.0
places365_micro_12.0,0.0
places365_micro_2.0,0.0
places365_micro_7.0,0.0
places365_micro_0.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
places365_micro_11.0,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
is_sponsored,0.0
electronic,0.0
max_age,0.0
nudity_14,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_3,0.0
nudity_4,0.0
nudity_10,0.0
nudity_11,0.0
nudity_12,0.0
nudity_13,0.0
person,0.0
caption_len,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
is_video,0.0
places365_micro_8.0,0.0
