feature,importance
nudity_5,0.34405560519615136
n_mentions,0.2207025187533227
caption_len,0.06166409090297163
n_emojis,0.05582129712542653
cap_sentiment_magnitude,0.046296063415284694
n_male,0.031893961257804915
places365_macro_0.0,0.030049163487244287
mean_age,0.029656250416304424
n_hashtags,0.024692182596802992
indoor,0.02290598108501132
places365_macro_1.0,0.02251398630741095
places365_macro_2.0,0.020317470078034628
is_location,0.019286708244877833
dominance,0.018513985180916428
nudity_9,0.013704499441183432
places365_micro_3.0,0.007693117934393014
places365_micro_0.0,0.00614503482552377
nudity_6,0.0049590352197137096
percent_warm,0.0042224953829675775
cap_sentiment_score,0.004018691544091184
nudity_7,0.0016557728063091202
mean_female_age,0.0016451127720251903
std_female_age,0.0012445210650502607
weighted_emoji_sent,0.0011357853631360805
pleasure,0.001117765835752086
g_percent,0.0010288781255630719
food,0.0009361815616867679
lum_percent,0.000914715716210212
r_percent,0.0007305603371872374
nudity_11,0.0004785680216425641
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_4.0,0.0
min_age,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
std_age,0.0
places365_micro_1.0,0.0
max_age,0.0
mean_male_age,0.0
std_male_age,0.0
places365_micro_14.0,0.0
places365_micro_13.0,0.0
places365_micro_12.0,0.0
places365_micro_11.0,0.0
places365_micro_10.0,0.0
is_sponsored,0.0
electronic,0.0
n_female,0.0
appliance,0.0
days_within,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_8,0.0
nudity_10,0.0
nudity_12,0.0
nudity_13,0.0
nudity_14,0.0
nudity_15,0.0
b_percent,0.0
percent_cold,0.0
arousal,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
furniture,0.0
is_video,0.0
places365_micro_8.0,0.0
