feature,importance
n_mentions,0.1743090553377792
nudity_5,0.14019909036710393
n_male,0.10990971320860385
n_emojis,0.05810920502514782
days_within,0.05455369269764347
is_location,0.05003907204717172
min_age,0.031035404316640456
places365_macro_1.0,0.029642809370783316
nudity_9,0.02431970650115483
caption_len,0.024296788897234717
n_female,0.020230163769202735
dominance,0.019816933869467142
std_male_age,0.017916952837649935
cap_sentiment_magnitude,0.0178251514040198
n_hashtags,0.017662623182858866
places365_micro_0.0,0.01712735185528407
cap_sentiment_score,0.016548562388788407
places365_micro_7.0,0.015749667894417882
mean_age,0.013403039014079805
places365_macro_0.0,0.010818213067701988
std_age,0.009957595235168454
indoor,0.009411355502857354
std_female_age,0.009274459464975397
percent_cold,0.007688378728323995
places365_macro_2.0,0.006156482036335973
weighted_emoji_sent,0.0056414143580915815
percent_warm,0.005628790114627234
mean_female_age,0.0052883874240030795
lum_percent,0.005183600589492253
places365_micro_11.0,0.004997386236957469
nudity_7,0.00484091033713206
r_percent,0.004532892454666962
places365_micro_5.0,0.004468602878802693
nudity_15,0.004395586267836955
g_percent,0.0039964237541142205
pleasure,0.00394048121694663
places365_micro_4.0,0.0039391478867401245
nudity_0,0.003297947970930812
nudity_11,0.003253698511251719
b_percent,0.003202263641784281
outdoor,0.003066411072680537
arousal,0.0029355749121250246
food,0.002727189934055499
places365_micro_6.0,0.0026977297420460677
nudity_6,0.0025004599672094232
places365_micro_3.0,0.0018897412653084453
places365_micro_14.0,0.0015514495027592642
places365_micro_1.0,0.0014508590809342054
nudity_2,0.0012893106144858558
places365_micro_13.0,0.000943617262727084
person,0.0008116154400174822
places365_micro_10.0,0.0007538546464735193
nudity_3,0.0007380296357845692
nudity_13,0.0007292341161820993
furniture,0.0006914003643419523
max_age,0.0006248302504024963
appliance,0.0005067496481958972
animal,0.0004746749132327506
kitchen,0.0004614113841587871
places365_micro_8.0,0.0003773559183522953
places365_micro_15.0,8.391166865694087e-05
nudity_4,6.436525810857589e-05
electronic,2.1221737988097667e-05
mean_male_age,0.0
is_video,0.0
sports,0.0
places365_micro_12.0,0.0
accessory,0.0
vehicle,0.0
nudity_14,0.0
places365_micro_2.0,0.0
nudity_12,0.0
nudity_10,0.0
nudity_8,0.0
nudity_1,0.0
PopularityScore,0.0
is_sponsored,0.0
