feature,importance
n_hashtags,0.20535391554522087
mean_age,0.1298756719438964
nudity_5,0.09531529579651113
n_mentions,0.09365088182988188
caption_len,0.08685757657270382
cap_sentiment_score,0.0508354824732908
n_emojis,0.04995217515911424
dominance,0.04653386161589617
n_male,0.041273426448905526
places365_macro_1.0,0.04043605400722903
cap_sentiment_magnitude,0.033222286882411155
n_female,0.025847395158792086
places365_macro_0.0,0.02112463084205102
indoor,0.009857641132982847
is_location,0.008617834672625514
mean_female_age,0.006014626515627846
places365_micro_11.0,0.004936350214196034
min_age,0.003978008787867783
percent_cold,0.003919167581962414
std_female_age,0.0037207435760094995
r_percent,0.003483845423849421
percent_warm,0.0032722482298976705
g_percent,0.0031572796726340034
lum_percent,0.00289776821931532
days_within,0.002893797690845651
std_male_age,0.002402814575358055
food,0.00229216199041903
places365_micro_4.0,0.0020762665145112693
places365_micro_0.0,0.002075933373956069
nudity_15,0.002036230062343972
arousal,0.0018871837489565868
nudity_7,0.0015152382653553216
std_age,0.0011616148903229543
nudity_6,0.001100836168632617
places365_micro_1.0,0.0010518630262506294
b_percent,0.001025573391628388
places365_micro_7.0,0.0008573606685743283
pleasure,0.0008220252469148594
places365_macro_2.0,0.0007301175620278297
weighted_emoji_sent,0.0006746069530674091
nudity_0,0.0005241366408190333
outdoor,0.00039709375506194174
places365_micro_3.0,0.00019909485327487171
nudity_9,0.00014188231880664595
places365_micro_10.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
is_sponsored,0.0
electronic,0.0
mean_male_age,0.0
nudity_13,0.0
PopularityScore,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_8,0.0
nudity_10,0.0
nudity_11,0.0
nudity_12,0.0
nudity_14,0.0
max_age,0.0
person,0.0
vehicle,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
furniture,0.0
is_video,0.0
appliance,0.0
places365_micro_8.0,0.0
