feature,importance
percent_warm,0.2537276052968768
dominance,0.1819409114666835
lum_percent,0.10854650574567064
PopularityScore,0.07782300177553092
b_percent,0.05735956424188949
days_within,0.04128015753730334
n_mentions,0.03871154521558544
is_location,0.035529350541565516
pleasure,0.03155284066824435
r_percent,0.0304729158897036
std_age,0.02749765073214641
arousal,0.024931728290473174
g_percent,0.022029078151406343
n_male,0.021361966806103864
weighted_emoji_sent,0.018997608833608473
n_female,0.01580509773384329
places365_micro_13.0,0.012432471073364868
places365_macro_0.0,0.0
cap_sentiment_magnitude,0.0
places365_macro_1.0,0.0
places365_micro_0.0,0.0
cap_sentiment_score,0.0
places365_macro_2.0,0.0
is_sponsored,0.0
places365_micro_14.0,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
mean_female_age,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
std_female_age,0.0
caption_len,0.0
std_male_age,0.0
mean_male_age,0.0
percent_cold,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
indoor,0.0
n_emojis,0.0
n_hashtags,0.0
is_video,0.0
mean_age,0.0
min_age,0.0
max_age,0.0
places365_micro_8.0,0.0
