feature,importance
lum_percent,0.1138197328014204
percent_warm,0.10239859918936027
r_percent,0.08458602931623511
arousal,0.07971826125025158
min_age,0.06648552563908594
dominance,0.059752554461724346
is_location,0.05701762829357146
places365_macro_1.0,0.056369476283405114
places365_micro_7.0,0.050289492715926094
percent_cold,0.04307613394968445
cap_sentiment_score,0.042198072815005434
pleasure,0.04150675410523878
n_emojis,0.040247310662978424
places365_micro_5.0,0.037269083304112154
PopularityScore,0.03480877681388989
mean_age,0.02099054129668589
cap_sentiment_magnitude,0.020880794047621724
g_percent,0.017959237439253144
places365_micro_15.0,0.013199844481532217
weighted_emoji_sent,0.00925796491466824
n_female,0.005459460004813227
indoor,0.0027087262135360455
places365_macro_0.0,0.0
places365_macro_2.0,0.0
places365_micro_0.0,0.0
is_sponsored,0.0
places365_micro_13.0,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
mean_female_age,0.0
places365_micro_14.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_6.0,0.0
std_female_age,0.0
caption_len,0.0
std_male_age,0.0
mean_male_age,0.0
days_within,0.0
b_percent,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
n_hashtags,0.0
n_mentions,0.0
is_video,0.0
n_male,0.0
std_age,0.0
max_age,0.0
places365_micro_8.0,0.0
