feature,importance
dominance,0.11576073973190293
std_male_age,0.07796533768675087
n_mentions,0.06046957442799079
b_percent,0.04747588202837251
is_location,0.0454940847322668
percent_warm,0.04286846657914662
n_hashtags,0.03937743190931898
weighted_emoji_sent,0.03854043834343885
cap_sentiment_score,0.0380382512635135
lum_percent,0.03620348809989679
percent_cold,0.03409249206891611
cap_sentiment_magnitude,0.03273540540888272
n_emojis,0.030910087089170927
caption_len,0.027304878507400904
pleasure,0.02562103166269158
std_female_age,0.025452683690637953
g_percent,0.024976921222175187
arousal,0.02492468507387232
n_male,0.023486045625914484
r_percent,0.023347063186802818
days_within,0.016488166172839786
PopularityScore,0.016130497864194907
std_age,0.014404705525172087
indoor,0.013554709413696043
places365_macro_1.0,0.013396585763874388
min_age,0.013227204093328079
places365_macro_0.0,0.011734215139583792
places365_micro_15.0,0.011488782320908497
places365_micro_3.0,0.009684007190626915
places365_micro_4.0,0.00836933014573339
places365_micro_0.0,0.008340012029928913
places365_micro_2.0,0.008228300828445065
mean_age,0.00695535426399925
mean_female_age,0.00489916664269854
places365_macro_2.0,0.004540543066580538
n_female,0.004019303504512079
places365_micro_11.0,0.0034667469121316607
food,0.0034387702455755008
person,0.0032236460303035667
places365_micro_5.0,0.0019844917684963413
appliance,0.0017870468502658161
accessory,0.001414539481847706
animal,0.0012364322280897955
places365_micro_1.0,0.0010882253235957847
outdoor,0.0009782360848427842
places365_micro_13.0,0.0008759927696651443
places365_micro_14.0,0.0
places365_micro_12.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
furniture,0.0
kitchen,0.0
sports,0.0
vehicle,0.0
places365_micro_8.0,0.0
