feature,importance
n_emojis,0.11848921733451824
n_mentions,0.11199910003280185
dominance,0.07428027169118546
days_within,0.06558552865705557
n_hashtags,0.052004538181137816
is_location,0.04400763980628586
lum_percent,0.040111505170550815
places365_micro_3.0,0.03104105668200455
percent_warm,0.030669339104343562
places365_macro_1.0,0.029215585106063403
n_male,0.028682340892914476
places365_macro_2.0,0.027764014563896957
cap_sentiment_score,0.026674839024417828
pleasure,0.025740695475942193
places365_macro_0.0,0.02437844357224351
percent_cold,0.023747696116578794
weighted_emoji_sent,0.023657563581075788
b_percent,0.022658157565185407
places365_micro_0.0,0.02083806935842934
g_percent,0.02012210195878531
indoor,0.01821507886371146
n_female,0.017611929777867717
std_female_age,0.016071237103400256
caption_len,0.015520949819848563
PopularityScore,0.015468886260409003
min_age,0.014195878712871429
places365_micro_4.0,0.013182790707546691
std_male_age,0.01294423466718703
std_age,0.008372362929189697
r_percent,0.007444405101024418
mean_age,0.004602398689555547
places365_micro_11.0,0.0032881909355514795
cap_sentiment_magnitude,0.0029555415547419393
mean_female_age,0.002426037149256105
arousal,0.002124707550528044
places365_micro_2.0,0.0015713487630837912
food,0.0012918047225242487
places365_micro_15.0,0.0010445128162859321
places365_micro_7.0,0.0
places365_micro_13.0,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_14.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
places365_micro_12.0,0.0
is_sponsored,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
appliance,0.0
electronic,0.0
furniture,0.0
kitchen,0.0
sports,0.0
accessory,0.0
animal,0.0
outdoor,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
