feature,importance
n_mentions,0.27630592566841544
cap_sentiment_score,0.06537495158705192
dominance,0.06418315017376772
caption_len,0.05531514111851315
is_location,0.04718276487872021
percent_warm,0.0335802115134731
n_hashtags,0.033160070619819786
g_percent,0.03225854272000184
n_emojis,0.02912683934956392
n_female,0.02829984322039674
n_male,0.0260064579631334
pleasure,0.024154312526782785
std_age,0.023754542100997884
weighted_emoji_sent,0.02351972755732036
std_female_age,0.021803239985489734
places365_macro_0.0,0.01884673805174408
b_percent,0.018433946761502798
percent_cold,0.017556233428670916
indoor,0.015232580492191342
lum_percent,0.014386911116497024
places365_macro_1.0,0.014104162166563539
PopularityScore,0.013296032939095159
std_male_age,0.01182767156726347
r_percent,0.010363470345075117
days_within,0.010013516850427303
places365_macro_2.0,0.009340748540834767
mean_female_age,0.008085182110150734
places365_micro_11.0,0.007703537749127759
cap_sentiment_magnitude,0.007029977728966388
places365_micro_3.0,0.006016348844137872
min_age,0.005247233240157998
food,0.005235167825204584
outdoor,0.003955920045277401
arousal,0.0037723243433966233
appliance,0.0024089086670735253
kitchen,0.002333731718852923
places365_micro_12.0,0.00195190327120717
places365_micro_5.0,0.0017160475406678489
mean_age,0.001576720065637037
places365_micro_13.0,0.0015697124209008721
places365_micro_6.0,0.0014389030524924662
max_age,0.0014132326872263064
places365_micro_7.0,0.000758796531587824
places365_micro_15.0,0.0003586189146211997
places365_micro_14.0,0.0
places365_micro_4.0,0.0
places365_micro_10.0,0.0
places365_micro_2.0,0.0
is_sponsored,0.0
places365_micro_1.0,0.0
places365_micro_0.0,0.0
mean_male_age,0.0
is_video,0.0
electronic,0.0
furniture,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
