feature,importance
std_male_age,0.15745815043163458
n_mentions,0.15611005329136302
cap_sentiment_score,0.11863478916408277
is_location,0.07051926376314424
weighted_emoji_sent,0.06391276078240174
n_emojis,0.056920589809591034
percent_warm,0.05310581036794108
indoor,0.05227675895799713
caption_len,0.05193374553447943
places365_macro_2.0,0.04169229735017292
PopularityScore,0.03931969341105438
n_male,0.035021954280601064
kitchen,0.02977360537394255
lum_percent,0.02672984043417694
mean_female_age,0.0234470647086892
places365_micro_3.0,0.02314362233872805
places365_micro_15.0,0.0
std_female_age,0.0
mean_male_age,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
places365_micro_4.0,0.0
places365_micro_2.0,0.0
places365_micro_14.0,0.0
cap_sentiment_magnitude,0.0
places365_macro_0.0,0.0
places365_macro_1.0,0.0
min_age,0.0
places365_micro_0.0,0.0
places365_micro_1.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
max_age,0.0
is_sponsored,0.0
std_age,0.0
mean_age,0.0
days_within,0.0
r_percent,0.0
g_percent,0.0
b_percent,0.0
percent_cold,0.0
pleasure,0.0
arousal,0.0
dominance,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
n_hashtags,0.0
is_video,0.0
n_female,0.0
places365_micro_7.0,0.0
