feature,importance
is_location,0.11889654995712606
weighted_emoji_sent,0.10491098593038829
g_percent,0.08461427385724293
PopularityScore,0.08390287430407091
cap_sentiment_score,0.08011210735008828
b_percent,0.07051200598942935
std_female_age,0.05926284996633871
sports,0.059060840517269036
pleasure,0.05232077849934026
lum_percent,0.05178888151908838
arousal,0.04464106362108888
min_age,0.041486975217509436
r_percent,0.039937150400258796
percent_cold,0.03589480347499092
indoor,0.028778478776807982
places365_macro_1.0,0.025166914375486626
n_mentions,0.018712466243475195
places365_micro_1.0,0.0
cap_sentiment_magnitude,0.0
places365_macro_0.0,0.0
places365_macro_2.0,0.0
places365_micro_0.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
std_male_age,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
mean_female_age,0.0
caption_len,0.0
mean_male_age,0.0
food,0.0
days_within,0.0
percent_warm,0.0
dominance,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
kitchen,0.0
furniture,0.0
max_age,0.0
electronic,0.0
appliance,0.0
n_emojis,0.0
n_hashtags,0.0
is_video,0.0
n_male,0.0
n_female,0.0
mean_age,0.0
std_age,0.0
places365_micro_8.0,0.0
