feature,importance
n_mentions,0.2306228188189451
n_emojis,0.11641467314108198
kitchen,0.0801333118124841
cap_sentiment_score,0.05395347541584603
dominance,0.05031989199552524
n_hashtags,0.04381367463189561
days_within,0.039353107538630284
food,0.0390775227731901
is_location,0.03804007366026386
indoor,0.03081635116892873
places365_macro_1.0,0.027025573637700327
n_male,0.018987694374581723
lum_percent,0.017688470606336302
arousal,0.017530773025909333
percent_warm,0.017018192315772236
std_female_age,0.01696177865932527
mean_age,0.014647393266710357
sports,0.014054080486228113
weighted_emoji_sent,0.012149106000442934
PopularityScore,0.01158036125623044
cap_sentiment_magnitude,0.011543816012392539
pleasure,0.010733889164476824
g_percent,0.010412868695610405
percent_cold,0.010253097504997935
b_percent,0.009270444008594792
places365_macro_2.0,0.009183385513440669
r_percent,0.008933885468787577
places365_macro_0.0,0.008192882876242473
std_male_age,0.006372810772614608
caption_len,0.00604917680243098
n_female,0.003975549843253539
std_age,0.002823816422049237
min_age,0.002441421706798788
places365_micro_15.0,0.0020125842593957427
mean_female_age,0.001859135095002933
places365_micro_5.0,0.0015671859860401077
appliance,0.0013268240741939987
places365_micro_4.0,0.0009551756541241236
outdoor,0.000606488189077933
places365_micro_13.0,0.0005606109899938045
places365_micro_10.0,0.0004956266789888392
places365_micro_11.0,0.00024099969546391626
places365_micro_14.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
places365_micro_12.0,0.0
is_sponsored,0.0
places365_micro_1.0,0.0
places365_micro_0.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
furniture,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
