feature,importance
n_mentions,0.12124663847815349
cap_sentiment_score,0.10348616005830924
std_female_age,0.09533325628640349
kitchen,0.08773812833512144
n_emojis,0.0860102492878667
n_hashtags,0.0768859959413248
is_location,0.04573150974421251
lum_percent,0.03434793842912598
weighted_emoji_sent,0.03323959025728077
b_percent,0.030680427959561697
percent_cold,0.030422966261978497
percent_warm,0.029742837207307537
pleasure,0.025017180817484167
g_percent,0.021121196145181823
indoor,0.020262940395552154
sports,0.017077055445697552
r_percent,0.016922240741687713
caption_len,0.015390988887809747
days_within,0.014328275205223987
PopularityScore,0.01340667169709362
arousal,0.012617326992084274
mean_age,0.01034510266177391
n_male,0.01011477501349441
places365_macro_0.0,0.004696883949699973
std_age,0.004642916363517109
places365_macro_2.0,0.003870720963158235
min_age,0.0037684899163838276
dominance,0.003536612362413002
appliance,0.003522472216013677
places365_micro_0.0,0.003486492730396207
cap_sentiment_magnitude,0.0031293500251482905
places365_micro_3.0,0.0029920167576980897
places365_micro_4.0,0.002700476486245318
food,0.002400663914143943
mean_female_age,0.0018942677918015345
places365_macro_1.0,0.0014509338090845177
places365_micro_15.0,0.0011912092931062753
places365_micro_14.0,0.0010876530497802368
std_male_age,0.0009447559504134396
is_sponsored,0.000790727893589635
n_female,0.0007057851599185634
places365_micro_13.0,0.0006352066439267068
places365_micro_10.0,0.0005561253844535368
electronic,0.0005267870893783716
mean_male_age,0.0
outdoor,0.0
places365_micro_7.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
person,0.0
vehicle,0.0
places365_micro_2.0,0.0
places365_micro_12.0,0.0
animal,0.0
max_age,0.0
places365_micro_11.0,0.0
places365_micro_1.0,0.0
accessory,0.0
furniture,0.0
is_video,0.0
places365_micro_8.0,0.0
