feature,importance
n_mentions,0.1773914470023856
cap_sentiment_score,0.14646225696151288
kitchen,0.12344524153362739
dominance,0.06047668789559388
n_emojis,0.05886300276899809
n_hashtags,0.04485113241162473
days_within,0.03905918838677918
std_female_age,0.038311439980780196
is_location,0.03073240526395509
b_percent,0.019027144317043596
places365_macro_2.0,0.01885367564728729
lum_percent,0.017777777141356133
percent_cold,0.01766701681585558
percent_warm,0.017489149328974645
pleasure,0.01739442506312
r_percent,0.014329820415722519
weighted_emoji_sent,0.013730378405911276
std_male_age,0.01323897674095493
arousal,0.011913644111951296
n_male,0.011734549380053286
min_age,0.011627738395865943
g_percent,0.011593211423523186
food,0.011100773345070931
indoor,0.010893976017603781
PopularityScore,0.010266653061203718
mean_age,0.00917563126644873
sports,0.00749364422819035
n_female,0.006699939624201469
places365_macro_1.0,0.004635077671542351
caption_len,0.004458143533528129
cap_sentiment_magnitude,0.002662568718795674
places365_micro_3.0,0.002421433581494103
std_age,0.0023773790359072644
places365_macro_0.0,0.0021521552576807667
places365_micro_15.0,0.0015135642887277997
places365_micro_13.0,0.0014058351803571127
appliance,0.0011365016849274147
mean_female_age,0.0010842034428890787
furniture,0.0010660512557225535
places365_micro_0.0,0.0009862569175633118
outdoor,0.0006508893516677969
animal,0.0005678668804125011
places365_micro_6.0,0.0004660027289369895
places365_micro_1.0,0.0004413970504348338
places365_micro_7.0,0.00037374648381675754
places365_micro_2.0,0.0
places365_micro_5.0,0.0
places365_micro_12.0,0.0
places365_micro_4.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
places365_micro_11.0,0.0
places365_micro_10.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
accessory,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
