feature,importance
std_female_age,0.17164094738357508
is_location,0.1069410104624894
arousal,0.07361169574040036
lum_percent,0.07276657734184107
pleasure,0.07144599303135887
b_percent,0.05761082187938537
g_percent,0.05727283514783948
indoor,0.05448437320849826
weighted_emoji_sent,0.053475368745782334
n_mentions,0.04524838893873887
dominance,0.04272005677326346
r_percent,0.03504634005275855
percent_cold,0.03391013523338665
PopularityScore,0.030412169843634283
n_emojis,0.026268747159521322
percent_warm,0.017792041078305513
food,0.016417966974700802
places365_micro_11.0,0.014416124702444957
cap_sentiment_score,0.009695500681714894
n_hashtags,0.008822905620360552
places365_macro_1.0,0.0
places365_macro_2.0,0.0
places365_micro_0.0,0.0
places365_micro_1.0,0.0
places365_macro_0.0,0.0
cap_sentiment_magnitude,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
places365_micro_12.0,0.0
mean_female_age,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
places365_micro_13.0,0.0
caption_len,0.0
std_male_age,0.0
furniture,0.0
days_within,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
electronic,0.0
mean_male_age,0.0
appliance,0.0
is_video,0.0
n_male,0.0
n_female,0.0
mean_age,0.0
std_age,0.0
min_age,0.0
max_age,0.0
places365_micro_8.0,0.0
