feature,importance
is_location,0.1977475562712983
n_emojis,0.10666509438050963
days_within,0.05195208816765476
n_hashtags,0.050193327989242024
lum_percent,0.047563292639848875
food,0.04422180631587885
cap_sentiment_score,0.041120051433026515
percent_warm,0.038712745974448536
pleasure,0.03584043863809176
b_percent,0.033897635815237574
weighted_emoji_sent,0.03314384406591035
percent_cold,0.031084783669644355
indoor,0.030891684887196402
std_female_age,0.026389641599427287
g_percent,0.024117571331410157
caption_len,0.021540850999936387
arousal,0.021516131385649194
mean_age,0.020883986263663376
n_male,0.017843437154294803
PopularityScore,0.01680900218028119
n_mentions,0.013314258372636811
places365_micro_15.0,0.010283260170461769
dominance,0.009553545802995276
r_percent,0.007502456487694694
places365_macro_2.0,0.0074238401589943786
places365_macro_1.0,0.007289389144046842
outdoor,0.006941993575279168
std_age,0.006021378902435416
places365_micro_0.0,0.005476806898249769
places365_macro_0.0,0.00476208069592248
min_age,0.0037982611428022477
sports,0.003470987244469361
mean_female_age,0.0033953732002392502
appliance,0.0031909121298159746
places365_micro_4.0,0.00260477628150843
places365_micro_2.0,0.00249107614320015
animal,0.002167876167881315
n_female,0.001887602179235486
cap_sentiment_magnitude,0.0018656890997504956
furniture,0.001436364973231307
places365_micro_3.0,0.0010501795821919316
electronic,0.0009003831269765811
places365_micro_14.0,0.0006562766466290255
kitchen,0.00025210021905065793
places365_micro_10.0,0.000128160491650842
places365_micro_5.0,0.0
places365_micro_7.0,0.0
places365_micro_12.0,0.0
places365_micro_6.0,0.0
places365_micro_13.0,0.0
is_sponsored,0.0
places365_micro_11.0,0.0
places365_micro_1.0,0.0
std_male_age,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
accessory,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
