feature,importance
is_location,0.20290111717431586
n_emojis,0.08847829509813925
days_within,0.07775487910417937
indoor,0.07169529754846228
food,0.0579886966495455
lum_percent,0.04968669810508451
cap_sentiment_score,0.047787085734219636
n_hashtags,0.038727859063479406
b_percent,0.03735218704482698
percent_warm,0.036479101436133816
dominance,0.03463411748312187
weighted_emoji_sent,0.03404240392113046
PopularityScore,0.023577317490474616
std_female_age,0.019356264234072575
g_percent,0.018063216684505737
places365_macro_2.0,0.01789459381018591
pleasure,0.017426232202923025
percent_cold,0.016951616491499122
r_percent,0.013835282109807254
mean_age,0.009441207909358401
std_age,0.008965666498597149
n_male,0.008495516072986996
places365_micro_15.0,0.007158892782966793
arousal,0.006761843701528202
cap_sentiment_magnitude,0.006643707416482095
outdoor,0.005861929814436132
min_age,0.00584289008241158
mean_female_age,0.005663494053705781
furniture,0.00553361905913533
max_age,0.004651543434172378
n_female,0.0037139006024953414
n_mentions,0.003594656054134094
places365_micro_4.0,0.0030908528680052044
places365_micro_0.0,0.0022967741246631124
caption_len,0.0020654810442879124
places365_micro_13.0,0.002004462008474898
electronic,0.0018386886151916745
appliance,0.0017426124708596095
places365_micro_10.0,0.0
places365_micro_14.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
places365_micro_12.0,0.0
places365_micro_11.0,0.0
places365_micro_7.0,0.0
is_sponsored,0.0
places365_micro_1.0,0.0
places365_macro_1.0,0.0
places365_macro_0.0,0.0
std_male_age,0.0
mean_male_age,0.0
is_video,0.0
kitchen,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
