feature,importance
n_hashtags,0.15761227427047644
is_location,0.0848324103939801
dominance,0.08439071411896686
n_emojis,0.07630074345599519
percent_warm,0.06084912010639299
cap_sentiment_score,0.046242137750007316
std_female_age,0.04072576107025963
weighted_emoji_sent,0.03905710054390033
percent_cold,0.03117777632393527
b_percent,0.031005410640105268
indoor,0.028870763573300488
lum_percent,0.025745030707721623
g_percent,0.02291160310145511
places365_micro_15.0,0.02230834915158758
places365_macro_1.0,0.021207080732869532
pleasure,0.020139037634511425
arousal,0.019687465166395076
places365_macro_2.0,0.019579151050867875
r_percent,0.01896826145198859
PopularityScore,0.01777770838963642
days_within,0.01584649186928172
places365_micro_4.0,0.01486116766492004
places365_micro_0.0,0.013706476922042559
places365_macro_0.0,0.010967264353851544
mean_age,0.010672237202846206
n_mentions,0.010413074127850086
min_age,0.006797498023206173
n_male,0.006188433072991134
food,0.005821427410952218
places365_micro_2.0,0.005670537250838258
std_male_age,0.004936827517897138
places365_micro_3.0,0.004549627624576916
cap_sentiment_magnitude,0.003463647658789769
outdoor,0.003429253577613333
animal,0.002911753631325261
appliance,0.002763765443528909
caption_len,0.00228424975343906
n_female,0.0020812747633312816
person,0.0017898610240342026
places365_micro_13.0,0.0006280094361707353
std_age,0.0005739040078237185
electronic,0.0002553180283366472
places365_micro_14.0,0.0
places365_micro_11.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
places365_micro_12.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
mean_female_age,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
furniture,0.0
kitchen,0.0
sports,0.0
accessory,0.0
vehicle,0.0
places365_micro_8.0,0.0
