feature,importance
n_emojis,0.11230290937780284
is_location,0.0673558953237584
std_female_age,0.06292693613334524
percent_warm,0.05044222107553361
weighted_emoji_sent,0.04875344230313538
dominance,0.045993111383498375
cap_sentiment_score,0.043526397247025964
indoor,0.0410837789149341
days_within,0.03834076997148645
n_mentions,0.03617923272096711
appliance,0.03417907094118905
percent_cold,0.03338624482876642
b_percent,0.029808912929316932
n_male,0.029104812204088094
g_percent,0.02694340757512187
lum_percent,0.02558765503569863
min_age,0.021808761391866972
pleasure,0.021244373377272682
r_percent,0.019961326217482124
PopularityScore,0.019408207072982724
n_female,0.018415124454574397
places365_macro_2.0,0.01755865024833958
mean_age,0.017505270225554467
std_age,0.017253610487754863
places365_micro_4.0,0.014543372692687523
caption_len,0.011899659826707737
arousal,0.011580644082564562
places365_macro_1.0,0.010632611197941774
std_male_age,0.010428739899117042
n_hashtags,0.010409598732696262
places365_micro_0.0,0.009727332393631452
mean_female_age,0.007602409153543417
places365_micro_3.0,0.006811590220515364
places365_macro_0.0,0.006346493019548676
cap_sentiment_magnitude,0.0057766816874872205
animal,0.0035445265731267436
food,0.003230353851696707
places365_micro_11.0,0.002462498157367728
places365_micro_15.0,0.0022749563695098926
max_age,0.001958470254836242
kitchen,0.0006168944035655858
places365_micro_14.0,0.0005448254700696707
furniture,0.000538220571890157
places365_micro_7.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
places365_micro_2.0,0.0
places365_micro_13.0,0.0
places365_micro_12.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
is_video,0.0
electronic,0.0
sports,0.0
accessory,0.0
outdoor,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
