feature,importance
places365_micro_15.0,0.09347252844271814
places365_micro_4.0,0.08856355929559094
places365_micro_3.0,0.06672117534080597
places365_macro_0.0,0.0661133278138068
places365_micro_0.0,0.06336980469321643
places365_macro_1.0,0.054290920308790624
places365_macro_2.0,0.05387211152369348
places365_micro_2.0,0.04291222043943943
PopularityScore,0.041534125147483676
lum_percent,0.03925093248323125
b_percent,0.0375890688448298
percent_warm,0.030440004625468465
is_location,0.0281833488695012
appliance,0.027270088332531556
pleasure,0.02429859184387288
std_female_age,0.020338944816052973
percent_cold,0.020165041901709868
indoor,0.019633782174565417
g_percent,0.019352821752928163
n_emojis,0.018431030918095937
caption_len,0.016912485068014693
furniture,0.016589019026150714
cap_sentiment_score,0.014711056213950545
days_within,0.012281772903886958
std_age,0.011389056965450006
n_male,0.011353693428049628
r_percent,0.011211165834611429
min_age,0.008788811189776367
n_mentions,0.006980496664204612
std_male_age,0.006331243014719062
mean_female_age,0.003879780673342145
weighted_emoji_sent,0.0035750324252224043
arousal,0.0034893474492123976
kitchen,0.0034179239021172865
places365_micro_11.0,0.002683986404288562
dominance,0.0026539311219421027
n_female,0.0026020777337619778
accessory,0.002259984446518915
n_hashtags,0.001565658735834995
outdoor,0.0009582378900731339
places365_micro_13.0,0.0003232327712691595
mean_age,0.0002385765692700944
places365_micro_5.0,0.0
places365_micro_12.0,0.0
places365_micro_10.0,0.0
places365_micro_7.0,0.0
places365_micro_6.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
places365_micro_1.0,0.0
cap_sentiment_magnitude,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
food,0.0
sports,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
