feature,importance
places365_micro_15.0,0.10796588809099202
places365_micro_2.0,0.06852639118625518
places365_macro_0.0,0.06399363191061933
places365_micro_0.0,0.055549981344826464
places365_macro_1.0,0.04742720996928374
places365_macro_2.0,0.04549633677330174
percent_warm,0.042939154219789756
lum_percent,0.040855897874282995
is_location,0.039445597031981194
places365_micro_4.0,0.0391594782868335
places365_micro_3.0,0.03600080774389007
b_percent,0.031450384677890846
n_emojis,0.030881721691007526
std_female_age,0.02763959423136536
PopularityScore,0.02730541125966351
percent_cold,0.0260857729197137
cap_sentiment_score,0.024699971085384374
weighted_emoji_sent,0.02421963963586885
pleasure,0.023718584887440126
g_percent,0.019828136593303534
indoor,0.019248712996517627
dominance,0.017357913947177082
days_within,0.014881461246609008
min_age,0.013741832956130021
std_male_age,0.013174757829482334
arousal,0.011226261253580897
r_percent,0.010853811325979228
n_male,0.009525134431699372
caption_len,0.00941054937144099
mean_female_age,0.0074656206588725686
n_mentions,0.007150425828790983
n_hashtags,0.007088375319671778
std_age,0.006356464539052342
n_female,0.005586135977246761
mean_age,0.005467723311464219
outdoor,0.0034997761751725427
appliance,0.003395316745071087
kitchen,0.002508372713980005
food,0.001209341723924084
person,0.0011238416845918537
furniture,0.000973419871730292
places365_micro_8.0,0.0008307785163832746
max_age,0.0006519215168401687
places365_micro_7.0,0.0005876567285631736
places365_micro_14.0,0.0005227601990208584
is_sponsored,0.00051263278838272
places365_micro_11.0,0.0004729463701028368
places365_micro_13.0,0.0004140280016003659
places365_micro_1.0,0.0004066129799540429
animal,0.0003067436391772303
places365_micro_5.0,0.00030509793450354393
places365_micro_10.0,0.0002933828368848897
vehicle,0.0002605971667079985
places365_micro_12.0,0.0
mean_male_age,0.0
electronic,0.0
sports,0.0
accessory,0.0
places365_micro_6.0,0.0
is_video,0.0
cap_sentiment_magnitude,0.0
