feature,importance
dominance,0.22116089603954195
n_mentions,0.12551214519720302
cap_sentiment_score,0.10635781911879352
indoor,0.08026399267188848
n_emojis,0.07698790907584167
days_within,0.06879828480696737
std_female_age,0.04123303890755397
n_male,0.02825232973256589
is_location,0.023691603240747428
min_age,0.0190703534111921
appliance,0.018628554789401574
weighted_emoji_sent,0.014435113138736423
std_male_age,0.01421427719008358
caption_len,0.011874614331455344
b_percent,0.011525669744162088
lum_percent,0.011030083115923784
percent_cold,0.010725515185178013
percent_warm,0.01069840071090006
mean_female_age,0.009928999046506815
PopularityScore,0.008954192165091624
n_hashtags,0.007686151991976103
g_percent,0.00763788666610902
arousal,0.007576616064410416
cap_sentiment_magnitude,0.006808942559484099
places365_macro_2.0,0.006539966410493914
places365_micro_4.0,0.006535075497257899
pleasure,0.006287221043455887
places365_macro_1.0,0.005470198896572802
places365_micro_0.0,0.00490004492800357
places365_macro_0.0,0.004394422426809829
r_percent,0.0041981332860779276
places365_micro_3.0,0.00403161741025608
places365_micro_15.0,0.003813034402013993
std_age,0.002787278952673098
mean_age,0.0020221940668868205
places365_micro_11.0,0.0009733772825963973
places365_micro_1.0,0.0009624643139892166
food,0.0007891132162258476
outdoor,0.0007738984579715454
sports,0.00046524119760261697
n_female,0.000434398303458664
max_age,0.0003475794195694025
animal,0.0003137610686212413
places365_micro_2.0,0.0002439386444411367
places365_micro_7.0,0.00023476292784885644
kitchen,0.00021578440482454596
furniture,0.00021310454063435343
places365_micro_6.0,0.0
places365_micro_13.0,0.0
places365_micro_5.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
places365_micro_12.0,0.0
places365_micro_10.0,0.0
mean_male_age,0.0
is_video,0.0
electronic,0.0
accessory,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
