feature,importance
n_emojis,0.10546382445873365
n_mentions,0.08896233989469053
is_location,0.07608125160583552
percent_warm,0.047532016807769584
days_within,0.04340782220789661
n_hashtags,0.04303695573431913
indoor,0.03702231255840111
weighted_emoji_sent,0.03521054171929178
b_percent,0.03428533147944709
percent_cold,0.03422193591646832
g_percent,0.033744838266588376
arousal,0.029721971733136437
lum_percent,0.02920462110189964
r_percent,0.02868670132221721
cap_sentiment_score,0.027615257588497324
pleasure,0.02616984477943389
std_female_age,0.02466796532451522
cap_sentiment_magnitude,0.019357055590514524
mean_age,0.01913689194144727
places365_micro_0.0,0.017657214621305733
food,0.01702253961951837
n_male,0.016401292050614066
PopularityScore,0.015127435721664728
min_age,0.014314538062425785
std_male_age,0.014302522541099294
outdoor,0.012803803214617765
appliance,0.012250471169092864
places365_micro_13.0,0.011310591397819827
n_female,0.010691507783893819
dominance,0.009901962235818572
places365_macro_2.0,0.008855746853567442
places365_macro_1.0,0.0074423654439505806
places365_macro_0.0,0.00667563954074837
places365_micro_7.0,0.006241498296849366
places365_micro_11.0,0.005628417777257489
caption_len,0.005388383765974634
std_age,0.00486684569843123
places365_micro_5.0,0.004791483309826282
cuteness,0.0038228812986333405
places365_micro_15.0,0.003410933667925639
places365_micro_4.0,0.003191650672026506
places365_micro_3.0,0.002696828008277068
mean_female_age,0.0016739672175580356
places365_micro_12.0,0.0
places365_micro_6.0,0.0
places365_micro_2.0,0.0
places365_micro_10.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
furniture,0.0
kitchen,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
