feature,importance
places365_macro_0.0,0.12794273636330036
n_hashtags,0.07735277289411224
places365_macro_1.0,0.07360967027402857
is_location,0.06907993253382536
weighted_emoji_sent,0.06793662513613029
lum_percent,0.06143798068791668
n_emojis,0.05503954452770244
cap_sentiment_magnitude,0.042429411159077314
outdoor,0.042122077700717346
cap_sentiment_score,0.041500531924105986
cuteness,0.04017964125882065
percent_cold,0.03553769621550059
percent_warm,0.03139675121190043
b_percent,0.028647202859460732
pleasure,0.028328910231370536
g_percent,0.02403517398749595
arousal,0.02061210712926946
dominance,0.018685657844891394
indoor,0.01667029695030099
r_percent,0.015120575687182445
std_female_age,0.012443286212541952
n_mentions,0.011903759196315328
places365_micro_0.0,0.011328700847235109
PopularityScore,0.010459090652710895
days_within,0.007668651270918353
n_male,0.006025600345303574
std_male_age,0.005264907332320498
mean_female_age,0.004929565810911195
std_age,0.004161711373730749
min_age,0.002700641973477506
n_female,0.0018880603695513346
mean_age,0.0018504140123047244
places365_micro_13.0,0.0017103140255690101
places365_macro_2.0,0.0
places365_micro_7.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
places365_micro_4.0,0.0
places365_micro_3.0,0.0
places365_micro_1.0,0.0
places365_micro_2.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_15.0,0.0
places365_micro_14.0,0.0
places365_micro_12.0,0.0
is_sponsored,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
caption_len,0.0
appliance,0.0
electronic,0.0
furniture,0.0
food,0.0
kitchen,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
