feature,importance
cap_sentiment_score,0.12600284054046804
n_female,0.11241050121565989
percent_warm,0.10375795738704408
b_percent,0.06820241355451657
outdoor,0.056958812333919806
r_percent,0.051771841311687064
n_emojis,0.05058967304977283
std_age,0.048866039846107066
indoor,0.04743590457593298
n_male,0.0471261625601874
places365_macro_0.0,0.044499786895622034
n_hashtags,0.04334942149311201
n_mentions,0.04120172155450666
places365_micro_13.0,0.02831271219197537
std_female_age,0.02360149720576789
cap_sentiment_magnitude,0.020118709342560406
arousal,0.01694976795383666
lum_percent,0.016811914406356786
is_location,0.01519061992578283
PopularityScore,0.015043289942662406
pleasure,0.011034100204049895
percent_cold,0.010764312508471352
places365_micro_2.0,0.0
places365_micro_7.0,0.0
places365_micro_6.0,0.0
places365_macro_1.0,0.0
places365_macro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_0.0,0.0
places365_micro_5.0,0.0
places365_micro_4.0,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
mean_female_age,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
is_sponsored,0.0
caption_len,0.0
std_male_age,0.0
kitchen,0.0
days_within,0.0
g_percent,0.0
dominance,0.0
person,0.0
vehicle,0.0
animal,0.0
accessory,0.0
sports,0.0
food,0.0
mean_male_age,0.0
furniture,0.0
electronic,0.0
appliance,0.0
weighted_emoji_sent,0.0
is_video,0.0
mean_age,0.0
min_age,0.0
max_age,0.0
places365_micro_8.0,0.0
