feature,importance
n_hashtags,0.18151016893225916
caption_len,0.09228612428523406
dominance,0.08614158944262207
n_mentions,0.079555208524903
n_emojis,0.06970520506433227
is_location,0.053482431502843666
n_male,0.04946120917979902
n_female,0.038967269267081314
indoor,0.03791698687727873
places365_macro_1.0,0.0372280936511677
places365_macro_0.0,0.032648187693113916
percent_warm,0.027551663796611513
cap_sentiment_magnitude,0.0213886483535016
pleasure,0.02097812109726139
b_percent,0.019608410137378914
lum_percent,0.01886693080882252
cap_sentiment_score,0.017145402447759417
std_female_age,0.015478692754652223
g_percent,0.013523482904159168
weighted_emoji_sent,0.012093330985564605
percent_cold,0.011372200119910678
PopularityScore,0.010636110571928271
arousal,0.010178180961408843
days_within,0.008353617241066962
min_age,0.006905244912921072
r_percent,0.0066670152506382654
mean_age,0.002840469391628533
places365_micro_5.0,0.0026715803573272383
mean_female_age,0.0026324051624291456
places365_micro_6.0,0.0025491022713710876
std_age,0.0022657115149163024
outdoor,0.001926233671736579
std_male_age,0.001816741334110888
places365_micro_10.0,0.000718187760924477
places365_micro_7.0,0.0006371420387555212
places365_micro_4.0,0.0005931199967343071
places365_micro_3.0,0.0005779531972832857
food,0.00042820715294037976
places365_micro_11.0,0.00034839562558186576
places365_micro_12.0,0.0003452237600402656
places365_micro_13.0,0.0
places365_micro_0.0,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_1.0,0.0
is_sponsored,0.0
places365_macro_2.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
appliance,0.0
electronic,0.0
furniture,0.0
kitchen,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
