feature,importance
n_hashtags,0.21805627070423814
n_emojis,0.12285524190891509
n_mentions,0.11491154872728457
places365_macro_0.0,0.08772678603190127
cap_sentiment_magnitude,0.08220583443149618
places365_macro_1.0,0.07436775458966746
indoor,0.05735929719595138
cap_sentiment_score,0.05640765649193302
std_female_age,0.0391370715952401
dominance,0.03187448445633374
days_within,0.028839962496346818
is_location,0.014828706394962619
percent_warm,0.013442047541639551
weighted_emoji_sent,0.011950813661392503
outdoor,0.011220153459630811
person,0.0055213283093214485
caption_len,0.00377169352681004
r_percent,0.003657705539052773
percent_cold,0.0029552634884484784
places365_micro_6.0,0.0027436384173228977
b_percent,0.0024621221626296135
g_percent,0.0024287101326857623
PopularityScore,0.002407559411815435
n_male,0.002391580414698984
mean_age,0.0022473918703677883
pleasure,0.002176419238847817
arousal,0.0020529578010657365
places365_macro_2.0,0.0
places365_micro_0.0,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_4.0,0.0
places365_micro_11.0,0.0
places365_micro_3.0,0.0
places365_micro_7.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
places365_micro_14.0,0.0
places365_micro_5.0,0.0
places365_micro_2.0,0.0
places365_micro_15.0,0.0
is_sponsored,0.0
mean_female_age,0.0
furniture,0.0
lum_percent,0.0
vehicle,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
electronic,0.0
std_male_age,0.0
appliance,0.0
is_video,0.0
n_female,0.0
std_age,0.0
min_age,0.0
max_age,0.0
mean_male_age,0.0
places365_micro_8.0,0.0
