feature,importance
n_mentions,0.1819061343892446
n_emojis,0.09327921252917076
dominance,0.06769166999333397
is_location,0.05608629148729692
n_hashtags,0.05396774423964884
n_male,0.05094734991204102
n_female,0.047810200056037644
indoor,0.04480407906131623
cap_sentiment_magnitude,0.039352115964100126
cap_sentiment_score,0.0388455232548829
caption_len,0.03645541196343039
places365_macro_1.0,0.02984725826506644
percent_warm,0.026139306169847915
b_percent,0.021703194541425892
pleasure,0.02073271599113443
percent_cold,0.019971409450883618
lum_percent,0.018483751204843867
std_female_age,0.018191198011071878
weighted_emoji_sent,0.017232490678121926
r_percent,0.015812343875041806
places365_macro_0.0,0.015529436895138367
days_within,0.013889402559074875
PopularityScore,0.009925605567191709
g_percent,0.009385744430873238
arousal,0.007305317016123822
mean_female_age,0.007275512057575722
std_age,0.005493448220003641
outdoor,0.005040736453631621
min_age,0.003696889626958124
std_male_age,0.0033651478626822917
places365_micro_11.0,0.0031958918209457157
mean_age,0.0026161275720785904
sports,0.0018582623200952952
places365_micro_6.0,0.0016721618685927022
places365_macro_2.0,0.0015705822469030204
appliance,0.0013905024194438358
places365_micro_1.0,0.0012469396386226275
places365_micro_13.0,0.0010725254034389669
places365_micro_5.0,0.000840420397382288
food,0.0007943921388476764
furniture,0.0007907711648222887
places365_micro_0.0,0.0007296976212691941
places365_micro_15.0,0.0006471011567943336
max_age,0.0005509345291205771
places365_micro_7.0,0.0005065593667033121
places365_micro_4.0,0.00035048860774486207
places365_micro_3.0,0.0
places365_micro_14.0,0.0
places365_micro_2.0,0.0
places365_micro_12.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
mean_male_age,0.0
is_video,0.0
electronic,0.0
kitchen,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
