feature,importance
nudity_5,0.18084149796149443
weighted_emoji_sent,0.17559019321733763
nudity_9,0.09762321424595281
days_within,0.07371632248022326
std_female_age,0.06246837674032312
cap_sentiment_score,0.04952662686824077
lum_percent,0.04293968610856025
percent_warm,0.04150021993155882
kitchen,0.03501640913814496
mean_age,0.03251078495356614
dominance,0.02818655281804955
std_age,0.028061857049789335
b_percent,0.027196622198139273
pleasure,0.02452757762105983
percent_cold,0.023871388160305977
places365_macro_2,0.02104507421505807
indoor,0.014541056332301894
min_age,0.012605086955511074
std_male_age,0.012454321855458307
n_female,0.006347333654041687
is_location,0.0055719969189159625
n_emojis,0.0038578005759668152
max_age,0.0
mean_male_age,0.0
mean_female_age,0.0
n_male,0.0
is_sponsored,0.0
cap_sentiment_magnitude,0.0
places365_micro_14,0.0
places365_micro_6,0.0
places365_micro_5,0.0
places365_micro_4,0.0
places365_micro_3,0.0
places365_micro_2,0.0
places365_micro_15,0.0
places365_micro_13,0.0
places365_macro_0,0.0
places365_micro_12,0.0
places365_micro_11,0.0
places365_micro_10,0.0
places365_micro_1,0.0
places365_micro_0,0.0
places365_macro_1,0.0
caption_len,0.0
electronic,0.0
n_mentions,0.0
nudity_14,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_6,0.0
nudity_7,0.0
nudity_8,0.0
nudity_10,0.0
nudity_11,0.0
nudity_12,0.0
nudity_13,0.0
nudity_15,0.0
n_hashtags,0.0
r_percent,0.0
g_percent,0.0
arousal,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
food,0.0
furniture,0.0
is_video,0.0
appliance,0.0
places365_micro_7,0.0
