feature,importance
nudity_5,0.3027720886267171
weighted_emoji_sent,0.10892146888796257
percent_warm,0.10829088440718772
n_emojis,0.062494134805251386
n_hashtags,0.06004680318025861
pleasure,0.05741090198208137
dominance,0.05171973621588675
is_location,0.0470429811037232
std_female_age,0.03505451705278948
b_percent,0.03237430006133244
n_female,0.027463977159328846
min_age,0.022531394266957633
g_percent,0.014102095956244036
r_percent,0.01381612519915721
nudity_15,0.013622884923572809
caption_len,0.013073673516487002
percent_cold,0.012021426101456602
std_male_age,0.009953449118522213
cap_sentiment_score,0.0072871574350830155
places365_micro_1,0.0
mean_age,0.0
max_age,0.0
places365_micro_3,0.0
std_age,0.0
n_male,0.0
places365_micro_4,0.0
places365_micro_5,0.0
n_mentions,0.0
places365_micro_6,0.0
mean_male_age,0.0
places365_micro_2,0.0
mean_female_age,0.0
places365_micro_0,0.0
places365_micro_15,0.0
places365_micro_14,0.0
places365_micro_12,0.0
places365_micro_11,0.0
places365_micro_10,0.0
cap_sentiment_magnitude,0.0
places365_macro_0,0.0
places365_macro_1,0.0
places365_macro_2,0.0
is_sponsored,0.0
furniture,0.0
indoor,0.0
nudity_12,0.0
days_within,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_6,0.0
nudity_7,0.0
nudity_8,0.0
nudity_9,0.0
nudity_10,0.0
nudity_11,0.0
nudity_13,0.0
appliance,0.0
nudity_14,0.0
lum_percent,0.0
arousal,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
is_video,0.0
electronic,0.0
places365_micro_7,0.0
