feature,importance
mean_age,0.11110904734193733
caption_len,0.0721441503269595
percent_warm,0.06360222884137995
n_male,0.052712799386602095
lum_percent,0.049226079432004174
b_percent,0.04283315314734834
days_within,0.04265467968898838
is_location,0.04073340134926346
n_emojis,0.04067782950283056
nudity_5,0.03728160421727218
weighted_emoji_sent,0.0335656096471113
pleasure,0.032447709564410766
std_female_age,0.02901606924383435
percent_cold,0.028081584649894353
cap_sentiment_score,0.027645059309988663
arousal,0.027201924845064358
dominance,0.024294899134873024
nudity_15,0.024010147379886927
places365_macro_2,0.023758487389364227
g_percent,0.02340306677603851
indoor,0.022600269221534297
r_percent,0.02096197181800896
n_hashtags,0.01519364992106298
cap_sentiment_magnitude,0.013408118509577531
std_age,0.01006823628659288
std_male_age,0.009156921644327612
min_age,0.008882306280400317
places365_micro_2,0.008685960833031827
places365_micro_4,0.0084262655487325
n_mentions,0.007206026812818303
places365_micro_15,0.006337546646697413
places365_macro_1,0.005988892814455022
places365_macro_0,0.005969444087377907
places365_micro_3,0.005942746366643732
mean_female_age,0.0058680887089510615
n_female,0.005565814544859206
places365_micro_0,0.005188418936456427
nudity_9,0.0029550689864283595
appliance,0.0014579627348791312
food,0.001360576462795151
sports,0.0008080620640321567
nudity_7,0.0007282613251535912
outdoor,0.0004689081698107728
places365_micro_13,0.0003709501003203141
places365_micro_12,0.0
places365_micro_11,0.0
places365_micro_14,0.0
places365_micro_10,0.0
places365_micro_1,0.0
places365_micro_5,0.0
places365_micro_6,0.0
places365_micro_7,0.0
is_sponsored,0.0
electronic,0.0
mean_male_age,0.0
nudity_11,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_6,0.0
nudity_8,0.0
nudity_10,0.0
nudity_12,0.0
max_age,0.0
nudity_13,0.0
nudity_14,0.0
person,0.0
vehicle,0.0
animal,0.0
accessory,0.0
kitchen,0.0
furniture,0.0
is_video,0.0
places365_micro_8,0.0
