feature,importance
nudity_5,0.16510647973778436
n_mentions,0.08104781807763707
lum_percent,0.05808630009083714
percent_warm,0.057732220533797306
days_within,0.05492815037389608
is_location,0.04954880886465026
n_emojis,0.04109510067355441
b_percent,0.038085866670520274
weighted_emoji_sent,0.03500393794784962
indoor,0.03426701783616155
std_female_age,0.03317127584988911
percent_cold,0.0329378651077207
r_percent,0.027065074303691455
nudity_15,0.027034168077642796
dominance,0.026876241950766794
cap_sentiment_score,0.02656892933346517
n_hashtags,0.026056521071181164
std_age,0.024591521558689322
arousal,0.024516552364604493
pleasure,0.02286134783209631
g_percent,0.018442828524230084
min_age,0.013743322983534215
nudity_9,0.012659571217024967
mean_age,0.01054561723401271
places365_macro_2,0.007661266915676711
n_female,0.006817065218208746
cap_sentiment_magnitude,0.006015761886422155
food,0.004992852069605854
mean_female_age,0.004201164501491747
places365_macro_0,0.004086107585979836
std_male_age,0.003134098521058191
places365_micro_0,0.002351436638295005
n_male,0.002273166829456879
places365_macro_1,0.002259256468951053
places365_micro_3,0.001992191801158867
nudity_2,0.00170177818681562
places365_micro_11,0.0016451706449641386
caption_len,0.001429675504457511
places365_micro_15,0.0012944328054277337
nudity_7,0.0011720042971771606
nudity_11,0.001133711677772249
places365_micro_7,0.001113606124437439
places365_micro_5,0.0008799565521345588
places365_micro_14,0.0008462671771172059
kitchen,0.0007209487221231995
nudity_0,0.000305541656030735
places365_micro_10,0.0
places365_micro_2,0.0
places365_micro_13,0.0
places365_micro_4,0.0
places365_micro_12,0.0
places365_micro_1,0.0
places365_micro_6,0.0
is_sponsored,0.0
electronic,0.0
mean_male_age,0.0
max_age,0.0
PopularityScore,0.0
nudity_1,0.0
nudity_3,0.0
nudity_4,0.0
nudity_6,0.0
nudity_8,0.0
nudity_10,0.0
nudity_12,0.0
nudity_13,0.0
nudity_14,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
furniture,0.0
is_video,0.0
appliance,0.0
places365_micro_8,0.0
