feature,importance
nudity_5,0.24534923178835052
is_location,0.0710922555384739
weighted_emoji_sent,0.056304220496152045
n_emojis,0.0524259626864932
percent_warm,0.04783481093717229
n_hashtags,0.04558973971576705
std_female_age,0.03959105278944438
lum_percent,0.03668436725079762
n_mentions,0.03381375950459363
pleasure,0.031368446865999725
dominance,0.02979532031016253
b_percent,0.028911197320802683
percent_cold,0.02740952451249366
r_percent,0.02696525273047672
cap_sentiment_score,0.026422357264558875
arousal,0.025682427587244573
nudity_15,0.024384909557759453
indoor,0.016417395042594245
g_percent,0.016137996417977227
days_within,0.015879095297825288
std_male_age,0.010904306213668193
min_age,0.009078548564507216
mean_age,0.008937481782664018
places365_macro_1,0.007055229498460874
std_age,0.006697235833169551
sports,0.006247411105583424
cap_sentiment_magnitude,0.005301914949319911
places365_macro_0,0.005300121013692049
n_male,0.004413472798990579
nudity_9,0.004272255219836223
places365_macro_2,0.0037850996816994327
outdoor,0.0037832353569855356
n_female,0.003447123716894365
mean_female_age,0.0030651057569526835
places365_micro_15,0.0027206172098231812
food,0.0024150134140526196
nudity_7,0.001753636041502252
places365_micro_0,0.0015502475717486099
appliance,0.0012282000000921082
furniture,0.0010338484362405664
person,0.0010313339440179926
kitchen,0.0009757132040433062
places365_micro_3,0.000915901277689692
accessory,0.0008928782876424252
electronic,0.0008905985489654514
nudity_10,0.0008491912139604656
caption_len,0.0007782154009514569
places365_micro_13,0.0006349318135951699
nudity_0,0.0006174850079443976
nudity_12,0.0005673922391954435
vehicle,0.00027351140382050583
places365_micro_2,0.00027062473992795193
places365_micro_6,0.00025279513722279036
places365_micro_10,0.0
places365_micro_11,0.0
places365_micro_12,0.0
places365_micro_14,0.0
places365_micro_1,0.0
places365_micro_4,0.0
places365_micro_5,0.0
places365_micro_7,0.0
is_sponsored,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
animal,0.0
nudity_14,0.0
nudity_13,0.0
nudity_11,0.0
nudity_8,0.0
nudity_6,0.0
nudity_4,0.0
nudity_3,0.0
nudity_2,0.0
nudity_1,0.0
PopularityScore,0.0
places365_micro_8,0.0
