feature,importance
b_percent,0.06838956231138227
cap_sentiment_magnitude,0.055612547165152765
places365_macro_2.0,0.055509043125348115
places365_macro_0.0,0.05475175491576725
places365_micro_4.0,0.05071836754772392
days_within,0.047506340366126866
percent_warm,0.04216422920597124
lum_percent,0.03975317873743133
g_percent,0.037782287951416055
places365_macro_1.0,0.03769174197898406
mean_female_age,0.037157537801360115
places365_micro_3.0,0.03703609753892463
is_location,0.03546513270548939
places365_micro_15.0,0.035204340849161186
std_female_age,0.033384300237346634
places365_micro_2.0,0.03252681618170789
PopularityScore,0.031284459586732996
pleasure,0.024146877541900928
cap_sentiment_score,0.023563670111329055
arousal,0.023344618210433522
places365_micro_0.0,0.022179942448685597
std_male_age,0.02051776819458047
indoor,0.018644648898719526
n_emojis,0.017091017018384516
n_hashtags,0.01635009724177615
percent_cold,0.015728501308827463
mean_age,0.01447267622875972
r_percent,0.013938334578532616
n_female,0.012428782980523297
std_age,0.009190425325378311
caption_len,0.008400931534032449
weighted_emoji_sent,0.007477451338632365
min_age,0.006513285404583848
food,0.005266771660050302
places365_micro_11.0,0.004953885889887718
outdoor,0.003852575878955451
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_12.0,0.0
places365_micro_14.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
places365_micro_13.0,0.0
is_sponsored,0.0
mean_male_age,0.0
max_age,0.0
n_male,0.0
is_video,0.0
n_mentions,0.0
appliance,0.0
electronic,0.0
furniture,0.0
kitchen,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
dominance,0.0
places365_micro_8.0,0.0
