feature,importance
dominance,0.15569605348223986
n_emojis,0.112874053970861
n_female,0.06571229172630087
lum_percent,0.06411227811978881
places365_macro_2.0,0.05485401235686909
mean_female_age,0.03957332971785457
b_percent,0.03926906901695007
g_percent,0.036970420787117035
std_female_age,0.03459695747128009
pleasure,0.027822583057701817
days_within,0.027661039369782543
percent_cold,0.027634104174124496
is_location,0.025670592609299374
mean_age,0.025390251100822905
cap_sentiment_score,0.025221811824494084
percent_warm,0.023218368850550907
places365_micro_3.0,0.02273813249759001
PopularityScore,0.020577782064137476
arousal,0.020104209718628696
weighted_emoji_sent,0.017297169220390263
n_male,0.015321766188286798
is_sponsored,0.01352750222506937
r_percent,0.012060595027855014
n_mentions,0.01186456125990389
std_male_age,0.011541697325841923
indoor,0.01118250181305882
places365_micro_4.0,0.010394983500519053
min_age,0.009896934738290628
std_age,0.009206581353806913
places365_micro_0.0,0.009028189936901632
outdoor,0.0057697240714307905
caption_len,0.003880135327376013
n_hashtags,0.0037617066562110747
places365_macro_1.0,0.0029374325414737723
places365_micro_13.0,0.0026311768971903115
is_video,0.0
places365_micro_10.0,0.0
places365_micro_7.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
person,0.0
vehicle,0.0
places365_micro_2.0,0.0
places365_micro_15.0,0.0
places365_micro_14.0,0.0
places365_micro_12.0,0.0
places365_micro_11.0,0.0
animal,0.0
places365_micro_1.0,0.0
accessory,0.0
places365_macro_0.0,0.0
cap_sentiment_magnitude,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
mean_male_age,0.0
max_age,0.0
electronic,0.0
appliance,0.0
places365_micro_8.0,0.0
