feature,importance
caption_len,0.2277577053943413
mean_age,0.12854571180971452
n_emojis,0.12371090988566559
indoor,0.12363152804970105
n_male,0.10606559600873706
n_mentions,0.054643626074028256
std_age,0.03999393453900122
dominance,0.03850242946387483
places365_macro_2.0,0.032505201415896974
days_within,0.027595753645355412
mean_female_age,0.02300365192812852
lum_percent,0.008260184855848509
std_male_age,0.007805595554922736
is_location,0.006491546490305385
food,0.006195567308574414
percent_warm,0.00551713275573325
weighted_emoji_sent,0.005509703451093743
places365_macro_0.0,0.005403831439439368
n_female,0.005184576341534829
places365_micro_0.0,0.004488202460120617
cap_sentiment_magnitude,0.004375940018334976
places365_micro_4.0,0.004301821804451334
places365_micro_7.0,0.00367657690807617
pleasure,0.0034674076696523865
cap_sentiment_score,0.0033658647274676227
places365_micro_6.0,0.0
places365_micro_5.0,0.0
std_female_age,0.0
places365_micro_2.0,0.0
places365_macro_1.0,0.0
places365_micro_3.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_1.0,0.0
is_sponsored,0.0
mean_male_age,0.0
max_age,0.0
PopularityScore,0.0
r_percent,0.0
g_percent,0.0
b_percent,0.0
percent_cold,0.0
arousal,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
furniture,0.0
electronic,0.0
appliance,0.0
n_hashtags,0.0
is_video,0.0
min_age,0.0
places365_micro_8.0,0.0
