feature,importance
dominance,0.4476047629712992
n_female,0.20011903655456728
n_emojis,0.10796360636236045
places365_macro_2.0,0.07070748749597174
places365_micro_15.0,0.0343497137975992
places365_micro_0.0,0.03399290069561332
places365_macro_1.0,0.02592522896909003
cap_sentiment_magnitude,0.023500422398308254
places365_micro_7.0,0.020610502100030056
places365_micro_5.0,0.01248363858981973
r_percent,0.009052958704872039
n_male,0.007153878879616752
weighted_emoji_sent,0.006535862480851948
max_age,0.0
mean_male_age,0.0
min_age,0.0
mean_female_age,0.0
std_female_age,0.0
cap_sentiment_score,0.0
std_male_age,0.0
is_sponsored,0.0
places365_macro_0.0,0.0
std_age,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
places365_micro_14.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_6.0,0.0
places365_micro_1.0,0.0
caption_len,0.0
mean_age,0.0
outdoor,0.0
days_within,0.0
PopularityScore,0.0
g_percent,0.0
b_percent,0.0
lum_percent,0.0
percent_warm,0.0
percent_cold,0.0
pleasure,0.0
arousal,0.0
person,0.0
vehicle,0.0
animal,0.0
is_video,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
indoor,0.0
n_hashtags,0.0
n_mentions,0.0
is_location,0.0
places365_micro_8.0,0.0
