feature,importance
n_male,0.1689483589249959
mean_age,0.13826240704817222
n_emojis,0.1071433939443842
n_mentions,0.09134658252523405
dominance,0.08048795876407198
caption_len,0.07088782760983378
mean_female_age,0.03605491639278557
is_location,0.030165383362700346
indoor,0.029247828847440673
percent_warm,0.0242555148075999
places365_macro_2.0,0.01846119149945849
lum_percent,0.01825373274609938
cap_sentiment_score,0.016394034717503208
places365_macro_1.0,0.015177280264428475
std_female_age,0.01405993595812509
n_hashtags,0.013182332751832612
arousal,0.01132375010422984
percent_cold,0.009060534316426682
cap_sentiment_magnitude,0.0089270175832446
b_percent,0.008499904628981099
r_percent,0.007518097190888336
pleasure,0.006854549363000652
weighted_emoji_sent,0.006802737779644165
days_within,0.006738858961377977
g_percent,0.006245708465286364
places365_micro_4.0,0.006015241682949476
places365_micro_7.0,0.0058229001646807705
places365_macro_0.0,0.005467479014083294
places365_micro_11.0,0.005213805149966726
PopularityScore,0.004931116407148517
n_female,0.003698357234552883
std_age,0.0034299270632687103
std_male_age,0.003165711408062598
min_age,0.0021824368625605146
food,0.0021758944054914775
places365_micro_15.0,0.001910478505558333
kitchen,0.0017915104468914336
outdoor,0.0016430460026752329
places365_micro_5.0,0.0015882890733579375
places365_micro_0.0,0.0012725154633710682
appliance,0.0008702312715330189
places365_micro_8.0,0.0008662032554916551
places365_micro_1.0,0.0008624265251584099
places365_micro_3.0,0.0006271910641898819
max_age,0.0006172014962589276
furniture,0.0005428335508302101
electronic,0.0005118067505039736
places365_micro_6.0,0.0004935586436694617
mean_male_age,0.0
places365_micro_2.0,0.0
person,0.0
vehicle,0.0
animal,0.0
places365_micro_13.0,0.0
accessory,0.0
places365_micro_14.0,0.0
places365_micro_12.0,0.0
sports,0.0
places365_micro_10.0,0.0
is_video,0.0
is_sponsored,0.0
