feature,importance
nudity_5,0.16204267966475958
weighted_emoji_sent,0.1241984271724678
n_mentions,0.05756397479092527
percent_warm,0.05281932223348469
dominance,0.04904632328677245
days_within,0.044719510185299634
is_location,0.03612098804086111
lum_percent,0.03564115019473662
b_percent,0.030617445803807077
n_emojis,0.029263246157242233
cap_sentiment_score,0.027295139466721813
g_percent,0.027077031245002527
n_hashtags,0.02207757106752029
percent_cold,0.02187639589236367
nudity_9,0.020575453720305205
std_female_age,0.019854378335089202
r_percent,0.0178512449294206
mean_female_age,0.017683281417154893
arousal,0.016637027741541893
mean_age,0.01652674415751058
n_female,0.015318453262855662
pleasure,0.01468469799561382
std_age,0.012836965904646811
indoor,0.011855800462738241
n_male,0.011030687617232568
nudity_15,0.011026649187192223
caption_len,0.008125907328353684
min_age,0.008042596875008771
outdoor,0.0077596795981082
nudity_6,0.006710765354429142
std_male_age,0.006360074269819028
places365_macro_1.0,0.005747330930747785
cap_sentiment_magnitude,0.0036107210412923674
places365_macro_0.0,0.0033429877303722717
nudity_7,0.003099136493583703
food,0.00304972654404084
nudity_4,0.003040802398606991
nudity_11,0.0030078359954808487
places365_micro_5.0,0.0029418979733625734
places365_macro_2.0,0.0027839130935914235
appliance,0.0027480069662182845
nudity_2,0.0024706662155720045
places365_micro_1.0,0.002409698911726154
animal,0.0023092895781383752
places365_micro_11.0,0.002224658513151982
nudity_3,0.0021633009613092327
places365_micro_4.0,0.0014560822365589196
places365_micro_14.0,0.0013032436899528793
places365_micro_3.0,0.0012936819973101328
places365_micro_0.0,0.0012796425516649718
places365_micro_15.0,0.0010347109695103482
places365_micro_13.0,0.0009597765441390629
kitchen,0.000935623764399103
places365_micro_10.0,0.0007580082317812683
nudity_1,0.0006863888150238455
places365_micro_7.0,0.0005419914602197062
is_sponsored,0.000323250736100601
places365_micro_2.0,0.000316659031111717
nudity_10,0.00025421152118832574
places365_micro_12.0,0.00022172377918078893
places365_micro_6.0,0.0002181213739430603
furniture,0.00016517834978124377
sports,6.211824195366072e-05
electronic,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
accessory,0.0
vehicle,0.0
person,0.0
nudity_14,0.0
nudity_13,0.0
nudity_12,0.0
nudity_8,0.0
nudity_0,0.0
PopularityScore,0.0
places365_micro_8.0,0.0
