feature,importance
dominance,0.2544440322498457
nudity_5,0.1041277545316679
n_mentions,0.08531766464469547
weighted_emoji_sent,0.06241914883211938
caption_len,0.040592917979181964
nudity_0,0.03965931890122628
n_male,0.03851321124899766
nudity_9,0.0355036464407257
mean_female_age,0.03323891838687768
std_age,0.032215728311562275
pleasure,0.026785988680454106
days_within,0.025537737006732605
cap_sentiment_magnitude,0.024977285206148784
indoor,0.02274849717873249
percent_warm,0.019832371105173222
n_hashtags,0.01827584517580596
lum_percent,0.017074764764022508
n_emojis,0.016221290682212834
is_location,0.013377735559803526
percent_cold,0.0132604912614645
cap_sentiment_score,0.008735260065894337
places365_micro_0.0,0.006924713966367729
places365_macro_0.0,0.006216262830127726
mean_age,0.00568004280353605
r_percent,0.005609955417144368
places365_macro_2.0,0.005223930277358974
places365_macro_1.0,0.0051908290225663924
std_female_age,0.005169654820394623
arousal,0.00476615216388589
nudity_11,0.004465675875679495
nudity_6,0.004415956637068917
std_male_age,0.003974250707142568
nudity_2,0.0032789976404717894
b_percent,0.0024481700622974137
min_age,0.0023112638933434518
nudity_15,0.0014645356692698183
places365_micro_1.0,0.0
places365_micro_2.0,0.0
places365_micro_7.0,0.0
places365_micro_6.0,0.0
mean_male_age,0.0
places365_micro_5.0,0.0
places365_micro_4.0,0.0
places365_micro_3.0,0.0
places365_micro_15.0,0.0
places365_micro_10.0,0.0
places365_micro_14.0,0.0
places365_micro_13.0,0.0
places365_micro_12.0,0.0
places365_micro_11.0,0.0
max_age,0.0
is_sponsored,0.0
electronic,0.0
n_female,0.0
appliance,0.0
PopularityScore,0.0
nudity_1,0.0
nudity_3,0.0
nudity_4,0.0
nudity_7,0.0
nudity_8,0.0
nudity_10,0.0
nudity_12,0.0
nudity_13,0.0
nudity_14,0.0
g_percent,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
is_video,0.0
places365_micro_8.0,0.0
