feature,importance
n_mentions,0.18703350965412519
mean_age,0.1491592402154257
dominance,0.13717450535677428
days_within,0.11111931319541148
nudity_5,0.08557608367240163
n_emojis,0.048553391821882196
places365_macro_1.0,0.034853646659675004
std_age,0.03434958014250781
indoor,0.031416670101639656
n_male,0.024629586878244916
is_location,0.020343149026980024
places365_macro_2.0,0.0180374617023701
places365_micro_0.0,0.0174707716608027
places365_micro_4.0,0.016500191754631584
cap_sentiment_magnitude,0.016019537850023125
caption_len,0.012352447778006375
nudity_9,0.011275373106228783
places365_macro_0.0,0.0071813304366009955
std_male_age,0.003761335460728508
min_age,0.0034292245668475947
weighted_emoji_sent,0.003364461173201733
cap_sentiment_score,0.0028746844060767393
n_hashtags,0.0026028983017822374
nudity_2,0.0023121809076088033
places365_micro_15.0,0.002067272219203251
places365_micro_8.0,0.0019183530172348152
percent_warm,0.0019097119167996565
outdoor,0.0013853195125394157
mean_female_age,0.001348182845007343
nudity_7,0.0011828865550469524
places365_micro_11.0,0.0010926091003000344
places365_micro_13.0,0.001005439964850307
places365_micro_10.0,0.0008801446534275813
r_percent,0.0008055463163567251
pleasure,0.0007959246838936206
nudity_6,0.0007628050156294779
places365_micro_3.0,0.000725195277524583
g_percent,0.0004958650521512287
places365_micro_2.0,0.0004846673329493783
n_female,0.0004238920438615203
places365_micro_7.0,0.000360733141412875
lum_percent,0.00031619273517367717
std_female_age,0.000273386400095288
percent_cold,0.00019610843735600914
b_percent,0.00017918794920916077
places365_micro_5.0,0.0
places365_micro_6.0,0.0
max_age,0.0
places365_micro_14.0,0.0
places365_micro_12.0,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
is_sponsored,0.0
appliance,0.0
is_video,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_3,0.0
nudity_4,0.0
nudity_8,0.0
nudity_10,0.0
nudity_11,0.0
nudity_12,0.0
nudity_13,0.0
nudity_14,0.0
nudity_15,0.0
arousal,0.0
person,0.0
vehicle,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
