feature,importance
dominance,0.3255119765543112
nudity_5,0.23212177964404546
nudity_9,0.08153279840944286
caption_len,0.06133197481305352
places365_macro_0.0,0.04987005292342281
is_location,0.03437021641508198
places365_macro_1.0,0.022686237033962803
std_male_age,0.022625480225830653
cap_sentiment_magnitude,0.02179436151301969
n_mentions,0.018856690677912225
n_male,0.018815654093296302
weighted_emoji_sent,0.01606497077710522
places365_micro_15.0,0.008324449321723383
places365_micro_2.0,0.008249486986624619
places365_micro_3.0,0.0075283893202888735
days_within,0.007138723232438419
mean_female_age,0.006851910063831671
nudity_0,0.005751236207373471
places365_micro_0.0,0.005182859735304955
n_hashtags,0.004496714461815288
n_emojis,0.003501914535119919
cap_sentiment_score,0.003215650333588511
places365_micro_4.0,0.0031683617899462726
places365_macro_2.0,0.003065433853528121
nudity_2,0.0030031066710952126
g_percent,0.0025854786980249256
indoor,0.002320043664670211
min_age,0.002244795773236541
pleasure,0.0021423327710770475
std_female_age,0.0020319161267610885
percent_warm,0.0018633585905882292
nudity_7,0.0018458222312834995
lum_percent,0.0013851475044039498
b_percent,0.0011657270810040506
percent_cold,0.0010703065167238116
mean_age,0.0009998520362037087
nudity_15,0.0009462375444901863
arousal,0.0007792295697406651
outdoor,0.0007742447234436293
nudity_4,0.0006187103284130834
nudity_6,0.0005053141338177634
nudity_11,0.00042499427036075314
r_percent,0.00042311256092943887
n_female,0.0004165199928746519
appliance,0.0003964262887895063
places365_micro_1.0,0.0
places365_micro_7.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
places365_micro_14.0,0.0
places365_micro_13.0,0.0
places365_micro_12.0,0.0
places365_micro_11.0,0.0
places365_micro_10.0,0.0
is_sponsored,0.0
electronic,0.0
mean_male_age,0.0
person,0.0
PopularityScore,0.0
nudity_1,0.0
nudity_3,0.0
nudity_8,0.0
nudity_10,0.0
nudity_12,0.0
nudity_13,0.0
nudity_14,0.0
vehicle,0.0
max_age,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
is_video,0.0
std_age,0.0
places365_micro_8.0,0.0
