feature,importance
n_mentions,0.24636022175833933
min_age,0.18494214464217548
nudity_5,0.07644299242327209
n_emojis,0.07394254529411315
n_male,0.07234283796350344
caption_len,0.061838840098236994
weighted_emoji_sent,0.04150610874450917
dominance,0.03896959512439687
places365_macro_0.0,0.02950169592311142
nudity_6,0.02021646805523285
n_female,0.018291118894402734
cap_sentiment_score,0.015610917557394102
n_hashtags,0.013769425032308427
mean_female_age,0.009472034846701371
places365_micro_10.0,0.009427642914352871
indoor,0.008042204618752274
places365_macro_2.0,0.00792958185214391
nudity_15,0.0068080598137465085
percent_warm,0.0060951427257147734
is_location,0.00551876747256359
pleasure,0.005091347293013995
cap_sentiment_magnitude,0.004032147129193408
std_male_age,0.004016365672765696
food,0.003622225918811178
nudity_9,0.0033721524438075387
b_percent,0.003298635935957364
std_female_age,0.003263722920716061
days_within,0.0031370529095510304
percent_cold,0.0030723250735904643
lum_percent,0.0021794223627611318
places365_micro_1.0,0.001932837944753395
places365_macro_1.0,0.001841675374309554
g_percent,0.0017921991203247102
arousal,0.0017850825472932842
r_percent,0.001769399992177745
places365_micro_11.0,0.0016751328638734452
places365_micro_0.0,0.0015697165342958446
nudity_11,0.0012159336485493943
places365_micro_14.0,0.0009823434139627023
places365_micro_5.0,0.0009348105886472275
electronic,0.0008049594707709161
outdoor,0.0006049796736456773
mean_age,0.0004962619482157311
std_age,0.00048092346404133787
places365_micro_13.0,0.0
places365_micro_12.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
mean_male_age,0.0
is_sponsored,0.0
max_age,0.0
nudity_12,0.0
PopularityScore,0.0
nudity_0,0.0
nudity_1,0.0
nudity_2,0.0
nudity_3,0.0
nudity_4,0.0
nudity_7,0.0
nudity_8,0.0
nudity_10,0.0
nudity_13,0.0
appliance,0.0
nudity_14,0.0
person,0.0
vehicle,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
furniture,0.0
is_video,0.0
places365_micro_8.0,0.0
