feature,importance
n_female,0.14410659711092386
g_percent,0.08883401977934186
b_percent,0.08445802151158607
weighted_emoji_sent,0.08035222986218993
percent_warm,0.07815443208612484
n_male,0.07542400858710682
caption_len,0.0681452318419627
std_female_age,0.05572362963076445
r_percent,0.0524565630834796
lum_percent,0.03743446166266751
arousal,0.03645923631381074
pleasure,0.034778185774327244
mean_female_age,0.034731351725398735
days_within,0.02759427354700484
std_age,0.027126473798514288
PopularityScore,0.024203890961521934
std_male_age,0.01617886478253053
percent_cold,0.013215595902767482
cap_sentiment_score,0.012602191689954243
is_location,0.008020740348022347
places365_micro_6.0,0.0
places365_micro_7.0,0.0
cap_sentiment_magnitude,0.0
places365_macro_0.0,0.0
places365_macro_1.0,0.0
places365_macro_2.0,0.0
places365_micro_0.0,0.0
places365_micro_5.0,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
mean_male_age,0.0
max_age,0.0
dominance,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
indoor,0.0
n_emojis,0.0
n_hashtags,0.0
n_mentions,0.0
is_video,0.0
mean_age,0.0
min_age,0.0
places365_micro_8.0,0.0
