feature,importance
n_mentions,0.11996876346490114
std_age,0.08151337197058324
dominance,0.07628759971559233
cap_sentiment_magnitude,0.07261487006329513
percent_warm,0.06819716392236698
places365_micro_5.0,0.04723454982432411
places365_macro_1.0,0.0451972269817608
min_age,0.04480673444801351
std_male_age,0.04421373267446584
is_location,0.0410511688105719
places365_micro_7.0,0.03540437446774314
mean_age,0.03290647017145802
lum_percent,0.03141885917305955
arousal,0.03043592182061457
r_percent,0.027527497046785428
std_female_age,0.026660531720525113
percent_cold,0.026287602535152554
days_within,0.024234983632447346
caption_len,0.023387174260638303
mean_female_age,0.019384864248161607
pleasure,0.013743224264783456
n_male,0.013439099661466426
g_percent,0.012960591956075278
n_emojis,0.012948248465305779
weighted_emoji_sent,0.008899470678830602
cap_sentiment_score,0.006665320976313083
indoor,0.0053165668990416675
b_percent,0.003699833105181044
places365_micro_3.0,0.003594183040541938
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_0.0,0.0
places365_micro_13.0,0.0
places365_macro_2.0,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_macro_0.0,0.0
places365_micro_4.0,0.0
places365_micro_6.0,0.0
places365_micro_12.0,0.0
is_sponsored,0.0
mean_male_age,0.0
max_age,0.0
PopularityScore,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
n_hashtags,0.0
is_video,0.0
n_female,0.0
places365_micro_8.0,0.0
