feature,importance
n_mentions,0.08658892176622775
caption_len,0.08318429125079964
percent_warm,0.050793529166227334
is_location,0.04935931050106305
lum_percent,0.04912501157761767
n_male,0.048672351265848283
b_percent,0.04591783750048474
weighted_emoji_sent,0.04340301006238101
n_female,0.03935081861946356
percent_cold,0.03679339140761848
std_female_age,0.034101173565960013
cap_sentiment_score,0.0340659455413445
n_hashtags,0.03338730260698554
indoor,0.028348449520112444
days_within,0.024302901608337327
pleasure,0.02354450892543006
PopularityScore,0.022970688858905318
places365_micro_15.0,0.019310648907693278
places365_macro_1.0,0.018206645345149874
r_percent,0.01775058353686648
g_percent,0.01768456899502921
n_emojis,0.01655405776257581
places365_micro_2.0,0.01590175046346435
places365_micro_0.0,0.0158592152199285
std_age,0.013499990042183075
places365_macro_0.0,0.013469361172008747
mean_female_age,0.01278812258442078
places365_micro_3.0,0.012156579037132298
places365_micro_11.0,0.011475380087253734
places365_micro_4.0,0.0114727084747354
places365_macro_2.0,0.010534652067480506
arousal,0.010412813471112671
dominance,0.010018610019429542
min_age,0.009001551903963304
std_male_age,0.007016693272518928
outdoor,0.00651145432811429
cap_sentiment_magnitude,0.004140967936033589
places365_micro_7.0,0.002358446981402971
places365_micro_1.0,0.00218704904752089
places365_micro_13.0,0.001752324444094573
places365_micro_14.0,0.0015277690047440006
mean_age,0.0011684276976913536
sports,0.001052520546899681
accessory,0.000984145093171745
places365_micro_5.0,0.0008277055506831536
person,0.0004658132618905488
places365_micro_12.0,0.0
places365_micro_6.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
appliance,0.0
electronic,0.0
furniture,0.0
food,0.0
kitchen,0.0
animal,0.0
vehicle,0.0
places365_micro_8.0,0.0
