feature,importance
n_female,0.12912900968500002
n_mentions,0.10971915848618415
n_male,0.08868429853128484
dominance,0.08645376589442834
caption_len,0.07163356442718057
mean_female_age,0.058449028154689435
n_hashtags,0.05644098691127112
places365_micro_3.0,0.04588498086944467
weighted_emoji_sent,0.031084920967370352
is_location,0.03025283808486751
b_percent,0.026694460284622756
percent_warm,0.02444264604929194
places365_macro_2.0,0.024391201541246743
places365_micro_0.0,0.022512304607729298
places365_macro_0.0,0.019954910187118317
g_percent,0.018098854707154315
places365_macro_1.0,0.016357001230818177
PopularityScore,0.01599175034022541
pleasure,0.01575505720614807
days_within,0.013550157831082727
n_emojis,0.011809120936431992
outdoor,0.01032701968796162
mean_age,0.009243787145232545
percent_cold,0.008834264790507336
r_percent,0.00858584374310963
lum_percent,0.008136448123423429
indoor,0.007060289156131862
cap_sentiment_score,0.006461746507924
arousal,0.0050456079799355465
std_female_age,0.005023253239487555
cap_sentiment_magnitude,0.0037650117363038226
places365_micro_4.0,0.0033204823861495286
places365_micro_7.0,0.0027528532579698495
kitchen,0.0021184310187181594
places365_micro_11.0,0.0020349442935543066
places365_micro_10.0,0.0
places365_micro_1.0,0.0
places365_micro_13.0,0.0
places365_micro_6.0,0.0
places365_micro_2.0,0.0
places365_micro_12.0,0.0
places365_micro_5.0,0.0
places365_micro_15.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
std_male_age,0.0
mean_male_age,0.0
max_age,0.0
min_age,0.0
std_age,0.0
is_video,0.0
appliance,0.0
electronic,0.0
furniture,0.0
food,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
