feature,importance
n_mentions,0.18211498180806587
places365_macro_0.0,0.04789347496897335
caption_len,0.046001430831835353
weighted_emoji_sent,0.044485392348342916
b_percent,0.04266965107665909
lum_percent,0.0417654439112454
mean_age,0.0379401351406364
is_location,0.034600754208801786
percent_warm,0.0343253513540103
n_male,0.031922424092592334
indoor,0.029273878526723578
std_female_age,0.02918617614737581
cap_sentiment_magnitude,0.028959482320855757
n_emojis,0.028239807738131898
std_age,0.02798116898435905
pleasure,0.026368877687280443
places365_macro_1.0,0.0261684099749349
cap_sentiment_score,0.02351328982855248
percent_cold,0.02009222531625065
PopularityScore,0.018844479915381178
min_age,0.018185073915666664
g_percent,0.01731853463029276
n_hashtags,0.016623291730032054
places365_micro_3.0,0.016224796246358624
mean_female_age,0.014868099474378003
places365_micro_0.0,0.013229536352037136
arousal,0.01248141010329871
days_within,0.012000427117540808
places365_macro_2.0,0.011944716593639491
std_male_age,0.011169565008065954
dominance,0.008272519525936528
appliance,0.006952852432827451
places365_micro_4.0,0.0069372655596859475
places365_micro_2.0,0.005596011757252763
places365_micro_15.0,0.005517849539107883
outdoor,0.005322609355409676
r_percent,0.005111909473347407
n_female,0.00366744083910599
places365_micro_5.0,0.003033966390467746
places365_micro_11.0,0.0011451279826483747
places365_micro_7.0,0.001035153936257899
food,0.0010150058556336052
places365_micro_10.0,0.0
places365_micro_6.0,0.0
places365_micro_14.0,0.0
places365_micro_13.0,0.0
places365_micro_12.0,0.0
is_sponsored,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
furniture,0.0
kitchen,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
